term,horse,bear,cat,dog,cow,leg,arm,hand,foot,eye,apartment,igloo,barn,house,church,door,closet,chimney,window,arch,shirt,pants,skirt,coat,dress,chair,dresser,bed,table,desk,ant,butterfly,fly,bee,beetle,knife,bottle,glass,spoon,cup,telephone,key,watch,refrigerator,bell,screwdriver,chisel,pliers,saw,hammer,tomato,celery,corn,carrot,lettuce,bicycle,car,train,truck,airplane
horse,1.0,0.6833019020212167,0.6335785554977181,0.7232094758784949,0.7569296329701666,0.40065498593254056,0.6568529198414786,0.7407049647021029,0.44345815276471995,0.699899489960787,0.8072617130961649,0.5072825879875348,0.7073921504831218,0.7096553717805082,0.7000855950205136,0.5951449379007141,0.7235265786149908,0.6992786847771425,0.7555144531138333,0.7041980623093836,0.6486157962074763,0.7260001329412488,0.6084974842133718,0.7695674457431296,0.7235368809891214,0.6117849417911118,0.7343656776961393,0.6161634142384924,0.30884101762181454,0.5597430987042895,0.5905726894828418,0.609766259370243,0.5558633052803676,0.5241709259738536,0.6997977861238314,0.17236922071873836,0.3190132921599314,0.1922456905701787,0.3916216407052465,0.6954038097248912,0.812167248134312,0.38028245654300324,0.7065478716616397,0.7781969735766752,0.6351284724156311,0.5248055818604881,0.32164513699012304,0.5433900410771957,0.5236607556474481,0.4067137179389878,0.6272630978221065,0.5924364695190439,0.7161848716513194,0.34838625199461837,0.7278904563635755,0.8322163611764367,0.5957208867916829,0.644313356525626,0.6001674363752955,0.5759148734883744
bear,0.6833019020212167,1.0,0.49316908505598417,0.7295744752879582,0.6145145275178379,0.45537851748836966,0.6338331199878344,0.6611284937450322,0.674189482862783,0.6416019418838179,0.744402347887094,0.6767062496305046,0.7651631196906752,0.6643364267955157,0.7902222126900175,0.7753095676088897,0.729988081568093,0.7138018470195521,0.71993519070825,0.8428879435772438,0.7111555073575393,0.506264584110595,0.6839385410876792,0.7786066793792539,0.5032029318720497,0.5389018645596138,0.7199323516492376,0.8155570502619909,0.6954191739763079,0.7221186864628392,0.7453643850114146,0.8151993738357252,0.6627992820379722,0.6938011273085336,0.728680211931193,0.23479815848298352,0.5824177550317325,0.5199633178097021,0.6188005738830004,0.6721756939761451,0.7654710719602247,0.5666972305232648,0.6785079243121896,0.6746755809672662,0.6989528740757148,0.4602098429181315,0.5730607507245439,0.6456859002325289,0.5972373442878248,0.7252557100424266,0.7438271814615797,0.6610903673720746,0.624149159933882,0.6191274218928915,0.7987188298959905,0.7051541506322034,0.7332191355981694,0.7557108006010257,0.5994190580977665,0.6971684237435588
cat,0.6335785554977181,0.49316908505598417,1.0,0.6346082826177553,0.6243846569080346,0.48823788782877564,0.6108385952794209,0.7154458435157506,0.3737484068650634,0.6959126203335346,0.604988013147686,0.5198402274631919,0.5778835749172638,0.5095001769508537,0.5077880191127615,0.49419143129906185,0.5519746846853064,0.6222004130019414,0.5714149338074948,0.5112693910397337,0.5548274761239277,0.7027824972136152,0.6399172306693754,0.6820859714731494,0.6756604774092757,0.6091916579996012,0.6146886004745954,0.4607604631950758,0.3024595710749705,0.4459867101352507,0.5628176725096583,0.48687951118840866,0.6202726190034336,0.5267405870438365,0.6413342755293042,0.25439939341272805,0.3827420847533291,0.2644728766844523,0.36616202756476784,0.5952075927613516,0.5941362025601913,0.43647371111355604,0.6090885793435256,0.5753832683465748,0.6366571787923324,0.4923313683350112,0.2853000235563358,0.43784436376892666,0.4609035979217557,0.2647561652939393,0.5208043736477058,0.43704524768585484,0.5962946022294258,0.32635869156290437,0.6313369751534317,0.6280335831757178,0.42454820196229065,0.45863678974062,0.49779861225841665,0.5209576299226089
dog,0.7232094758784949,0.7295744752879582,0.6346082826177553,1.0,0.7830732148211025,0.3653299018010479,0.7223844439694298,0.6800955403150625,0.6158177359336715,0.7024451491167627,0.8033731871786866,0.5407895280900032,0.7349253873468252,0.6314297353711025,0.7269062059032549,0.7032201352707886,0.6546242819876862,0.6980713361305445,0.701916221839148,0.7472529219532081,0.6451310425386833,0.6745317931383416,0.6962275448907587,0.7480785630155096,0.6326420380344828,0.6068344487381633,0.7354207059137998,0.6833939353442814,0.46580000935581817,0.6516585662308438,0.6859257473751393,0.6822309691094925,0.5791004000404952,0.6585191880022391,0.7956151638939609,0.28751455040473584,0.378054473877523,0.2870447194898451,0.5459024178702331,0.6405599043838939,0.7929406230423223,0.350038825565676,0.6666767674030121,0.6725729569853774,0.6576518158261093,0.5520638148829703,0.2518473839660542,0.6806821129942213,0.5505665255496832,0.48660530304138155,0.6611228978842144,0.6075771384467872,0.5959963965856886,0.41963714022565773,0.7866052917357391,0.732137829740015,0.5716689403371674,0.6193669995841813,0.48485627464798076,0.6342800823501479
cow,0.7569296329701666,0.6145145275178379,0.6243846569080346,0.7830732148211025,1.0,0.39601169698897337,0.6648455390130277,0.7204736439759106,0.3049614239656881,0.6381183080329688,0.8143223241908946,0.47639014033499183,0.6639070261164111,0.764188709077225,0.6944432373074647,0.5433201322788147,0.6161980957466109,0.6855948390212003,0.7375287555473122,0.6610750268401755,0.578466406410922,0.7429485589544611,0.6523013491746256,0.6865828726157963,0.7008144237706684,0.5029334735125831,0.7036894444617157,0.6012597345458353,0.23792594930506822,0.45592493872598855,0.6051532960526612,0.5241189838175173,0.5430651514822633,0.43923345541392095,0.7292505701499098,0.3822317498572243,0.24831648275054846,0.16586293912219158,0.41527467065187285,0.6834642944603148,0.7379072674809505,0.27530998563829717,0.7091301190225587,0.7448098353219362,0.6263265240681961,0.4756515384126953,0.2382376636206529,0.591237363275238,0.6155900356003214,0.3716247654887803,0.5670496047338713,0.42756011544024464,0.5394510519554255,0.28413967233339865,0.7538459459856616,0.8302746899145856,0.4924084444362444,0.6200109480059071,0.5411287535982414,0.40681742977204594
leg,0.40065498593254056,0.45537851748836966,0.48823788782877564,0.3653299018010479,0.39601169698897337,1.0,0.3773068360942265,0.4455401901894322,0.16640421511929632,0.450495380828108,0.4159376857705723,0.6078879002980496,0.4523156704032983,0.5641752780676702,0.5051625278783953,0.5176246378712394,0.517464342564365,0.5405365147887334,0.5249390960544883,0.43718780861846324,0.507844781631723,0.4693337024134328,0.49993860216297015,0.5146976447276052,0.43251319527281223,0.4355548265215948,0.5069997793343319,0.4355121248018899,0.39970827135700226,0.2901794141162417,0.46231476958709494,0.4258390672497961,0.5835439122505323,0.32148710827051935,0.3953446959290988,0.44232537728914945,0.5075432160063296,0.3798199083211338,0.42055931934314683,0.5543658906090256,0.36230953206486227,0.5112924787590488,0.5290853520344481,0.5097158593374634,0.5544307533943998,0.22297278487996672,0.5957591386065624,0.3425861347562546,0.5792307098190088,0.49736395654855053,0.6378208488021703,0.1460235766324403,0.4474265355347492,0.45476823484921775,0.44859320949040155,0.529277723442308,0.44458424365488525,0.5673951339542687,0.5035287374761622,0.40526152829065965
arm,0.6568529198414786,0.6338331199878344,0.6108385952794209,0.7223844439694298,0.6648455390130277,0.3773068360942265,1.0,0.6823261192953782,0.638950948968911,0.7745489961500727,0.644391387677897,0.6605665456706432,0.7077707980195364,0.600431760175546,0.7082844539507541,0.5496148622928634,0.7540181885389453,0.8235277080847884,0.6764458167993835,0.664963070145642,0.7347317091743135,0.7635500875511063,0.7058605854705651,0.8003255973746985,0.7448487256861727,0.6518428276540522,0.687022368418254,0.6904981529049828,0.41208778518700967,0.7463455557806679,0.7411366482831961,0.5829358878503597,0.6521079072441235,0.7125427996402168,0.8013267387831597,0.4174565058516272,0.5466031375230501,0.4422782963361726,0.6531905142354314,0.7200865915445647,0.7874747388403728,0.353783082870418,0.6733659437388064,0.7542375739654811,0.7243771449476679,0.6955538249945283,0.34728369425577876,0.5383768035972654,0.7109182698904701,0.4928890896470488,0.557704537139048,0.6966667934147484,0.7655279728018246,0.45295108886953683,0.729542405510462,0.7129988113975289,0.6230948144970996,0.49894104523682764,0.4462806894654151,0.5948638447313086
hand,0.7407049647021029,0.6611284937450322,0.7154458435157506,0.6800955403150625,0.7204736439759106,0.4455401901894322,0.6823261192953782,1.0,0.5125892930498122,0.7616338242604627,0.7296519251140027,0.6234929911108398,0.7683108462646793,0.627294857143257,0.6934260126462304,0.5966934746454444,0.7183539927806253,0.7315279408913942,0.668264046660994,0.7190758875463189,0.6599109173522685,0.7307503761384133,0.7401679995263798,0.7948603247802091,0.7016041599599697,0.6471912767780511,0.780591160018073,0.6195433161339412,0.4356985610015656,0.5834342122785612,0.6504405317913086,0.6248295858843299,0.643811325044508,0.6309330122059008,0.7466200514963177,0.18526279815670688,0.4297127739958748,0.3962575676390004,0.400412263238836,0.6787883515038757,0.7897910788614173,0.5271534135282059,0.7592359548270627,0.7127407322929646,0.7238752006129047,0.5004694393429413,0.3899376908345637,0.4655920214429277,0.5160154107191769,0.3512785845150916,0.5927587710470386,0.6681090599422861,0.7300572983852659,0.33340874134730086,0.8099219617773602,0.7285242957972847,0.5815863216450678,0.6212596524842292,0.5434371475070842,0.5778723645533241
foot,0.44345815276471995,0.674189482862783,0.3737484068650634,0.6158177359336715,0.3049614239656881,0.16640421511929632,0.638950948968911,0.5125892930498122,1.0,0.5989253528282066,0.44837738256929704,0.5737615113736221,0.6445607711232629,0.3094479421461337,0.5968438216685692,0.6189780408492515,0.5946278886248748,0.6021261399667996,0.4287751649032516,0.6523625966480429,0.5943404903091352,0.36835203804043243,0.5442438601957967,0.6583940395042435,0.3556865029907357,0.5283678147349966,0.57073040823574,0.6428000072874899,0.6739077655926503,0.7827250758632822,0.6438316739896859,0.645668089622713,0.486458959274704,0.7576731581734701,0.6372014945787822,0.07280380517685942,0.567245406863885,0.5663336519186905,0.5564126615604686,0.46400704174176666,0.6216764651634455,0.40565251296696814,0.49253415049500715,0.4173424605455808,0.5096882579819175,0.5287316357737349,0.3421864379929188,0.5090177767392345,0.38456665625889097,0.5068025513218123,0.48878147208753464,0.7579728050994218,0.5678595712320331,0.5689998025863778,0.6056355339900316,0.3582570145194373,0.6349552168679711,0.4731732689681342,0.3650710900344258,0.6825373659032765
eye,0.699899489960787,0.6416019418838179,0.6959126203335346,0.7024451491167627,0.6381183080329688,0.450495380828108,0.7745489961500727,0.7616338242604627,0.5989253528282066,1.0,0.6711945937419116,0.7164875367577291,0.7795977395965651,0.6217896731846717,0.6896016365912323,0.5858551392400345,0.7605155484579325,0.7863636085525997,0.6870370276535611,0.6673290196968428,0.703351453861909,0.7437097461643662,0.6984682010433856,0.8211405384288238,0.7229787104711278,0.7107718000809231,0.7659882633056121,0.6657149990570002,0.43316120163327576,0.7124343807751333,0.7074915357114309,0.6265439239576185,0.688538898390039,0.72085226745598,0.815984842756093,0.3160825707467108,0.47700911845373833,0.396517250344019,0.6224459797470787,0.7094906323092288,0.7981440495212064,0.4724457991185128,0.7453149669373991,0.7116743107124754,0.7158258112466702,0.6363810607419429,0.36161154754095065,0.5511910678569805,0.604052316709083,0.44805441646686844,0.6087702963055485,0.6592143097255827,0.8042519541147678,0.49227001522277597,0.7343366298034609,0.7368250826449444,0.684468641549632,0.6136465302368763,0.5699502242371696,0.6955558203467147
