term,airplane,ant,apartment,arch,arm,barn,bear,bed,bee,beetle,bell,bicycle,bottle,butterfly,car,carrot,cat,celery,chair,chimney,chisel,church,closet,coat,corn,cow,cup,desk,dog,door,dress,dresser,eye,fly,foot,glass,hammer,hand,horse,house,igloo,key,knife,leg,lettuce,pants,pliers,refrigerator,saw,screwdriver,shirt,skirt,spoon,table,telephone,tomato,train,truck,watch,window
airplane,1,0.72890987,0.619198939,0.645484624,0.499099354,0.629684879,0.45169467,0.596356043,0.631328993,0.563862366,0.492819065,0.667426048,0.153668012,0.488339327,0.590918718,0.543097241,0.478983696,0.568041221,0.416273368,0.562744524,0.453268087,0.401373762,0.415348633,0.666093152,0.550453951,0.561993016,0.653410807,0.564141865,0.594759602,0.599721985,0.546642334,0.515226202,0.479829625,0.620413829,0.184567963,0.579253638,0.634852621,0.533664857,0.605598602,0.443894204,0.608075536,0.244864919,0.539703539,0.383294443,0.712965983,0.512506883,0.51496684,0.516586132,0.4481112,0.395691007,0.651425685,0.539979466,0.512286326,0.337666518,0.521268987,0.093321921,0.656984649,0.641108406,0.460070618,0.519815021
ant,0.72890987,1,0.60522177,0.610468696,0.613272185,0.700879333,0.512332086,0.544929741,0.654079427,0.606011029,0.589121373,0.694974029,0.128689989,0.539719693,0.657052703,0.447772964,0.547849486,0.694609176,0.452226088,0.536200225,0.556116734,0.416540498,0.422822973,0.702754863,0.4718453,0.741808955,0.708446546,0.516034203,0.698793842,0.466501395,0.606325042,0.533003453,0.577058429,0.706471455,0.320628323,0.642878487,0.713763239,0.679458116,0.628424988,0.390852352,0.649542419,0.306667164,0.56664372,0.392606928,0.712752863,0.562932352,0.654370814,0.623294384,0.526108462,0.502398793,0.76607425,0.58121613,0.640933935,0.403407613,0.538799698,0.11415434,0.599942848,0.672708248,0.513919198,0.558630781
apartment,0.619198939,0.60522177,1,0.79568918,0.372581177,0.79271006,0.523802381,0.690164523,0.466241405,0.516281442,0.448187221,0.698761699,0.159213523,0.567175111,0.715972717,0.235426862,0.426966074,0.477076704,0.548736572,0.679889571,0.427571495,0.688073098,0.714110535,0.68692231,0.354348712,0.437083719,0.555001474,0.80701944,0.49472244,0.533149361,0.570669949,0.679159199,0.587909792,0.567258035,0.181030521,0.521236938,0.459302866,0.430921635,0.502787196,0.757610473,0.677369405,-0.072295856,0.217273041,0.329351787,0.564608965,0.365631122,0.361526767,0.486049565,0.379956382,0.241934082,0.610345569,0.33647195,0.458624502,0.53644767,0.580273811,-0.011873922,0.771127949,0.461891216,0.361368465,0.622675542
arch,0.645484624,0.610468696,0.79568918,1,0.517160541,0.719381407,0.425856177,0.601821341,0.471325909,0.499376973,0.524485949,0.673661076,0.106876895,0.540983961,0.633464656,0.35586223,0.38651598,0.525418704,0.565349456,0.744136606,0.491292367,0.636583041,0.716777714,0.657041014,0.454904555,0.421896606,0.603748063,0.752055598,0.487523178,0.584636549,0.565914361,0.674566408,0.607949185,0.516163125,0.275097155,0.60815666,0.582356474,0.540429124,0.524286469,0.657288604,0.62769228,0.097804109,0.230103001,0.490405841,0.547354882,0.39919572,0.467329552,0.506055887,0.480485325,0.339830444,0.636861439,0.390217355,0.417901754,0.563133408,0.560895896,-0.029693947,0.718865787,0.516418259,0.461813469,0.692362729
arm,0.499099354,0.613272185,0.372581177,0.517160541,1,0.439887558,0.27872669,0.335666279,0.349628355,0.347909072,0.557546926,0.423681281,0.08245904,0.312667957,0.520768936,0.282615069,0.254540697,0.571377254,0.301295285,0.457379512,0.537612666,0.215874823,0.339272603,0.479684214,0.25300284,0.51385076,0.585189836,0.40329018,0.444016216,0.269140613,0.574965419,0.482507322,0.375285155,0.521517711,0.545325408,0.519151933,0.613512557,0.611372806,0.339948844,0.19585097,0.351313753,0.234258799,0.465790222,0.543954731,0.401607518,0.458504464,0.532539566,0.381554852,0.45288979,0.472728894,0.645294371,0.269899928,0.384483951,0.425626106,0.325265151,-0.106577075,0.374422996,0.487273807,0.284430294,0.426447035
barn,0.629684879,0.700879333,0.79271006,0.719381407,0.439887558,1,0.582940521,0.723069585,0.566032763,0.600352474,0.502667847,0.782339111,0.266303484,0.67738948,0.746777825,0.27865911,0.544558734,0.540013719,0.547148845,0.72250035,0.499307276,0.611919864,0.710962955,0.729493865,0.460624622,0.56145732,0.677929318,0.748404578,0.630872888,0.546349502,0.620068608,0.671370926,0.643447788,0.62971667,0.205180245,0.577895576,0.529921983,0.525414388,0.534807201,0.668976404,0.697288007,-0.018620548,0.341387916,0.373002099,0.634546539,0.401282343,0.482073902,0.605259622,0.435599398,0.387483768,0.708883289,0.46553886,0.510621238,0.514059604,0.653962273,0.043647733,0.727983894,0.500558786,0.470288816,0.571043494
bear,0.45169467,0.512332086,0.523802381,0.425856177,0.27872669,0.582940521,1,0.515397668,0.518446428,0.570650936,0.264988299,0.688364865,0.399829957,0.713925452,0.557167461,0.32363008,0.562021189,0.208871575,0.520769687,0.375638601,0.333452867,0.33889753,0.393261652,0.437859947,0.492070729,0.414959745,0.563716945,0.453583429,0.635428388,0.378997786,0.438036818,0.274968214,0.535928586,0.392734289,0.070894162,0.357222651,0.274318863,0.28786831,0.629446196,0.491255254,0.48971497,-0.069810213,0.214760791,0.165817889,0.496858597,0.313995305,0.370300529,0.400102184,0.529257214,0.342193138,0.506309492,0.455845123,0.313970839,0.406461809,0.689438197,0.104656137,0.548222759,0.269508405,0.49288521,0.355812021
bed,0.596356043,0.544929741,0.690164523,0.601821341,0.335666279,0.723069585,0.515397668,1,0.513021983,0.519837748,0.432431264,0.676310928,0.184553947,0.601625553,0.6146633,0.311153511,0.469509669,0.463863704,0.433996122,0.579047691,0.319614923,0.550998122,0.630536945,0.666046993,0.469183544,0.511599397,0.51218749,0.593835592,0.490476817,0.516799931,0.469740761,0.615511472,0.470845536,0.573244191,0.109386404,0.492439568,0.4802158,0.382872711,0.458515118,0.579235383,0.632672427,-0.0456171,0.369530733,0.15902736,0.598892237,0.333436362,0.47495234,0.543354896,0.366910498,0.308241473,0.586929353,0.380550903,0.519641912,0.422523292,0.511047038,0.0333177,0.61091898,0.399730825,0.40986803,0.410634191
bee,0.631328993,0.654079427,0.466241405,0.471325909,0.349628355,0.566032763,0.518446428,0.513021983,1,0.626510721,0.413672217,0.650894702,0.249699001,0.612425714,0.52043888,0.476273137,0.648824783,0.433426996,0.401800577,0.462910916,0.442810745,0.335803226,0.334587738,0.559995135,0.603933041,0.562794974,0.630470511,0.394980719,0.630733501,0.461696561,0.438625113,0.315591788,0.571855543,0.530281905,0.18108001,0.502652016,0.474379189,0.447136671,0.605802825,0.406724402,0.632766394,0.303421785,0.509899668,0.163352496,0.703511838,0.485014321,0.492450942,0.62731326,0.442824047,0.486947195,0.610716792,0.60659839,0.501567764,0.280795718,0.564879788,0.192507251,0.514390282,0.485674297,0.464897242,0.395461803
beetle,0.563862366,0.606011029,0.516281442,0.499376973,0.347909072,0.600352474,0.570650936,0.519837748,0.626510721,1,0.214778434,0.679255856,0.430241015,0.546307149,0.441553308,0.553142171,0.582799639,0.354859603,0.409020897,0.546204655,0.460915814,0.362758046,0.34494274,0.518652609,0.495019463,0.489159232,0.61704332,0.499310495,0.61343679,0.536832145,0.454434697,0.24783904,0.611626314,0.404337315,0.113084738,0.59861691,0.363141274,0.325290451,0.559004845,0.50592266,0.616966245,0.133793786,0.490210264,0.24077697,0.739480215,0.400370484,0.490050656,0.520809665,0.403134002,0.507140681,0.584958375,0.675123998,0.485449629,0.429273913,0.728449183,0.41677328,0.630310873,0.342834469,0.659674516,0.334140668
