,horse,bear,cat,dog,cow,leg,arm,hand,foot,eye,apartment,igloo,barn,house,church,door,closet,chimney,window,arch,shirt,pants,skirt,coat,dress,chair,dresser,bed,table,desk,ant,butterfly,fly,bee,beetle,knife,bottle,glass,spoon,cup,telephone,key,watch,refrigerator,bell,screwdriver,chisel,pliers,saw,hammer,tomato,celery,corn,carrot,lettuce,bicycle,car,train,truck,airplane
horse,1.0,0.5238670222203482,0.6186805884553692,0.725261468105296,0.6900578932079325,0.36579917903523196,0.34327277055826666,0.40364619038665467,0.46427423165637216,0.3158364166086268,0.10389714885234827,0.19088921570374182,0.3300843378737554,0.19536829535699865,0.1274455082602902,0.2680743364044782,0.1805044978947778,0.18685848429594043,0.16066827950827386,0.19141565872240754,0.2190508486297109,0.23205880704312204,0.20443577188117837,0.35872342416349956,0.2232624042137955,0.181845722593832,0.1924550294199089,0.3043318702634718,0.21966678656264263,0.24035963538053357,0.2629360701267488,0.3468959164050882,0.23454207689746373,0.3303356860188858,0.30566795837698024,0.3497222065043051,0.22752208946973868,0.20575210061134266,0.22831788382651444,0.1997118546507165,0.02966081686670472,0.13047642093343098,0.3445485016624906,0.07784764204207498,0.2495212863478204,0.17968787742851366,0.21619311866948532,0.18708746442146415,0.25848272995085375,0.37506725343947805,0.13004293359382443,0.04910133265764843,0.2248214533768273,0.13226672325999914,0.10089037665552947,0.5395241172697267,0.3481725888916911,0.32937462773638027,0.4350105091841178,0.22867541817420786
bear,0.5238670222203482,1.0,0.6915035054745343,0.6668706675172565,0.5674784042152895,0.2668262692174193,0.29603052142702657,0.373253860190961,0.328768334251026,0.36895612655308774,0.11696084855219246,0.2610281971425132,0.25799873709298393,0.14276600970009426,0.0930306159707706,0.21219634188825823,0.2178055306236099,0.21658095462232788,0.13369167141138252,0.25139535972984167,0.27262394458287076,0.2903864781892232,0.24894237231186933,0.39284720446049115,0.32217865168854914,0.16525063832357115,0.1908686641948444,0.3328025236450951,0.161137778599828,0.20593300931906997,0.4433441894518272,0.49212336932996337,0.3304407339760826,0.5296227683153072,0.4673800399721013,0.3330675791413019,0.2456096064377065,0.234084055367766,0.262878936979043,0.1449243758886655,0.024790870664319026,0.1946382091759421,0.4531956952942334,0.08991671088087169,0.3289856493456671,0.14084694508841367,0.19296401721074258,0.1624059649133208,0.3356642097675054,0.39480205306110383,0.15065700262362286,0.11961848037660955,0.23643221144915808,0.23564053318839281,0.17068207885511555,0.22116076882326308,0.1490528205623429,0.18371334760174468,0.21597440769201626,0.15810195082063153
cat,0.6186805884553692,0.6915035054745343,1.0,0.9177954637490344,0.6827503228502639,0.3166378895950297,0.3272570820044949,0.4105774487035632,0.33164752066681785,0.457236421284883,0.15544860240658237,0.24991319686829966,0.24117910902474243,0.12737177474643419,0.059274201856870275,0.30870212296255106,0.2972325921039173,0.19855709151384485,0.20211133930226105,0.1553094052437415,0.2751263859064945,0.32588662240317123,0.2406762639050824,0.4093062524400083,0.2970669138926706,0.20332741171615615,0.21482990516990452,0.39180892480529195,0.2114485821898812,0.2794567548972639,0.48430336954379,0.44493015087830295,0.28973267771845984,0.5280772265741592,0.4442931037538198,0.3536604485589403,0.279642173553472,0.22540208937261808,0.2754163916856565,0.13596026229180957,0.03890324792272203,0.15191958712136894,0.3936477987235035,0.12474425758261365,0.31220235723415884,0.18930631427134642,0.15516557670760484,0.16773342285902534,0.2740516186042994,0.37170231842817747,0.15800101035078884,0.09198192860845951,0.20601820241545835,0.23046454324031243,0.15251258918685887,0.2142770993694546,0.21920821557658524,0.1886675764259923,0.24111004655202908,0.19800013372227995
dog,0.725261468105296,0.6668706675172565,0.9177954637490344,1.0,0.7328411077969504,0.32802171899813776,0.3062143969550378,0.404361547859166,0.3450892043285501,0.40051850184226656,0.12966296083913262,0.21549876320765474,0.23879359831000008,0.12492251617221958,0.07582563244994014,0.29175097905733677,0.2597556812329371,0.18118624154710317,0.18340026309493065,0.12749120731892763,0.25979997507205715,0.32412968022623967,0.22740186369637536,0.39686284488315715,0.26736317453478115,0.18651640872264064,0.18291575828535078,0.3826890663729548,0.1824440128488704,0.26743375574541367,0.38102471407324773,0.3745646770271414,0.2615757496115503,0.4524392461324357,0.3733721080917073,0.3562009069722568,0.2810279870990237,0.20346034714755923,0.26582028139594877,0.138356399261491,0.030492884458592946,0.1272925273216902,0.3908726895696611,0.1284357772913713,0.27745249204963607,0.18672441632217546,0.15956719371361114,0.18255117886065547,0.25301970525479417,0.3396239817947561,0.1635720531257607,0.08569668953096701,0.20310097720041909,0.21683878006467336,0.15350176181378355,0.28592701730193304,0.24824504437581504,0.20946231979218208,0.28601725820969387,0.19299659938778688
cow,0.6900578932079325,0.5674784042152895,0.6827503228502639,0.7328411077969504,1.0,0.3179053472005363,0.24709965688808835,0.28013651116547383,0.3342383619506686,0.3267051045572833,0.10724575872535258,0.26692073921676585,0.3552588488874778,0.09928618009340273,0.0476225884350634,0.20299165401342434,0.25171744291636494,0.24018739850071275,0.12858295746002948,0.17812710170629112,0.22896512205674824,0.27211775627953605,0.230118482441314,0.38737203145394117,0.2147486532814409,0.12397591466978168,0.21570544285114482,0.2882624899715625,0.14003108469692316,0.1808348732127778,0.3756600566355787,0.3513814912430967,0.2101208582992315,0.4350467823499971,0.38757406078841994,0.3171540215303478,0.3127293544580092,0.23135873046927843,0.38911459434468243,0.13469944813238563,0.015671797352742056,0.08348315899606737,0.26064561139942993,0.1420550350217071,0.24138887713741697,0.17232397112431955,0.19511492332780883,0.16959890281186166,0.17083392647405188,0.3473491436648157,0.31001677693766433,0.20344166517717743,0.43662705451574807,0.33562689626555203,0.2842615148865143,0.23711524663835232,0.15445706401738524,0.1363921324367996,0.2663035880005225,0.18285790444553565
leg,0.36579917903523196,0.2668262692174193,0.3166378895950297,0.32802171899813776,0.3179053472005363,1.0,0.828095727450816,0.6247337785354262,0.6651742100333211,0.5258479654724695,0.0867576865003066,0.07399851268969401,0.12838077729186242,0.06620538066667822,0.04710658930747941,0.38388560101516833,0.20981304084417696,0.24971642177682482,0.2508220524177483,0.3230719303208834,0.37724657022926306,0.3425186281319182,0.3796371555974038,0.35104375710855584,0.24388125299576496,0.2107811084843638,0.18171704595314497,0.35959746732956005,0.24236152763541363,0.2829552892740353,0.18171913049846752,0.28116389546798554,0.23777585947110066,0.19233169270519473,0.17169568736155935,0.5019673448431162,0.25046114701281424,0.2241261376651373,0.3101433118220998,0.21415007194879845,0.022744862154682754,0.15695623812256185,0.261966087001924,0.09329525110889711,0.21469525239856008,0.3002312279797745,0.29164480540659077,0.35625428054287783,0.2092647940715529,0.4710722230960047,0.1411259978551411,0.10501722843299309,0.13165524945996035,0.1517003780693493,0.13132554572292054,0.29121239620324896,0.20035933885840554,0.1789795391108139,0.23358786035147772,0.17648920027760612
arm,0.34327277055826666,0.29603052142702657,0.3272570820044949,0.3062143969550378,0.24709965688808835,0.828095727450816,1.0,0.7358960733667907,0.6261064173065173,0.5140250361940804,0.09884569259121391,0.09159836951353288,0.1397393492660561,0.11578386441976957,0.07967303466720912,0.46900140418954384,0.24342532346043902,0.264366753195265,0.29254191139383506,0.3435434743329063,0.2983353410376671,0.2689923397777851,0.3451285045297487,0.31999286795536885,0.22664142581800936,0.27755244694531933,0.19273903244950336,0.37423401087546715,0.24545632148490248,0.393547574149299,0.2024430136008828,0.281455307588496,0.24627203679686907,0.1903777326932655,0.19279043250955494,0.5897544467292939,0.2748520523264101,0.27767220328774894,0.31678697402692246,0.11942168938526072,0.0325093828294032,0.20473304291796776,0.290400605130805,0.12495325114912288,0.29632488396097245,0.39969120003363257,0.3569060772137872,0.431314557990019,0.2199558698308105,0.5754753475126585,0.061412485620217894,0.05166682998091295,0.11782319711974124,0.10475224723722909,0.07726484712091303,0.3183768057350939,0.2531617805220751,0.1978680056866201,0.31428540333491695,0.23705777979148104
hand,0.40364619038665467,0.373253860190961,0.4105774487035632,0.404361547859166,0.28013651116547383,0.6247337785354262,0.7358960733667907,1.0,0.5538834741121108,0.5932444272353398,0.09385635502212407,0.09487101757567996,0.14225880089484733,0.13244279650523635,0.09137327271868982,0.5057652816186311,0.2704951116790244,0.24861770143468878,0.35722733174000865,0.250438579417511,0.3409118584206833,0.2917474194752854,0.3414760376534821,0.41924066969478024,0.33871528256750805,0.2566148194878977,0.25867464294288284,0.48596939497909614,0.3463777445605594,0.41828679187963846,0.19692137604121965,0.3014374940143901,0.24589780730282282,0.27578743909968995,0.18377219950519671,0.6649932323577172,0.37989605089214773,0.45709087191364767,0.37845686397820955,0.1393646551345294,0.03839326889621125,0.25358782628918924,0.3675860329275923,0.20543897486636956,0.2699060995591924,0.42166325931591253,0.4240159980272157,0.42300942057795204,0.2919439214751928,0.5477928342809109,0.11594264733747947,0.0839661765792606,0.19726663499884864,0.15728755469599748,0.12501408080580012,0.25991599394824044,0.281584836898694,0.17504554895486651,0.26059702792843964,0.15202391434828785
foot,0.46427423165637216,0.328768334251026,0.33164752066681785,0.3450892043285501,0.3342383619506686,0.6651742100333211,0.6261064173065173,0.5538834741121108,1.0,0.4655181235570121,0.12539900430318118,0.11198977603857219,0.20745375888654788,0.16224917053009824,0.08768751839758177,0.374933385305112,0.1946631308796647,0.35367827510514943,0.2645432658746505,0.35572472524285376,0.2235017069749626,0.23624025515656222,0.26943586547038084,0.2980490615464571,0.19218263576623557,0.21175696322206872,0.1816417537266086,0.3937599433019813,0.2510099805511039,0.2800718917735207,0.2009504329056966,0.277491842446492,0.24955199173927686,0.24165884842502014,0.20607836174551292,0.434717352001296,0.2579035821181765,0.2773462054280459,0.269605551870567,0.15722939914318215,0.04516288368291592,0.1598066107909062,0.2808657357302106,0.11171429681562697,0.2568877226883661,0.28023687988304574,0.3004827529334163,0.29376093612285,0.2465951438780535,0.42922423453483555,0.09795635473850893,0.06767112153359871,0.1658506435799172,0.12343726550262138,0.09099768763131824,0.3542004474720909,0.2592554277023867,0.23791530951282863,0.3145875194382842,0.18806560348877308
eye,0.3158364166086268,0.36895612655308774,0.457236421284883,0.40051850184226656,0.3267051045572833,0.5258479654724695,0.5140250361940804,0.5932444272353398,0.4655181235570121,1.0,0.09643261301274232,0.13167357306237845,0.14956568975503898,0.1272947341461409,0.09402826295816306,0.33544766630165007,0.22764545578815518,0.2195292727933764,0.309246425990584,0.2633808439767513,0.270894810754033,0.220825982723295,0.2478211591235114,0.40394478204056794,0.273667800184015,0.16144238272154038,0.1863761876641325,0.31166768667474387,0.17196384261333347,0.2773258902626883,0.27962731724523127,0.3660972750806958,0.26617861525306563,0.36189285322700365,0.24871971554273034,0.4174218858926351,0.2905894712575725,0.36435259418160715,0.23993326195366263,0.10633729760873561,0.030739130294496837,0.1944082217175073,0.38949985458577757,0.11990983342149722,0.20797992970255508,0.24822319804569998,0.2338914236337308,0.22395529145149623,0.2671764839450586,0.3354212686028794,0.14773733819200913,0.08182098062677344,0.15246799992989535,0.16366137968212943,0.12731488999704402,0.16280908898625984,0.18003609842457127,0.14509479182206608,0.13207637589899038,0.1483353545181647
