term,horse,bear,cat,dog,cow,leg,arm,hand,foot,eye,apartment,igloo,barn,house,church,door,closet,chimney,window,arch,shirt,pants,skirt,coat,dress,chair,dresser,bed,table,desk,ant,butterfly,fly,bee,beetle,knife,bottle,glass,spoon,cup,telephone,key,watch,refrigerator,bell,screwdriver,chisel,pliers,saw,hammer,tomato,celery,corn,carrot,lettuce,bicycle,car,train,truck,airplane
horse,1,0.286686372,0.472631498,0.536652663,0.420264935,0.272362351,0.196819862,0.278092502,0.358354124,0.262356052,0.054071992,-0.019502079,0.401417235,0.208577397,0.059461486,0.184323633,0.121160199,0.085417469,0.111047292,0.112334018,0.154492112,0.187159973,0.11699562,0.28367056,0.219152356,0.154269422,0.081576962,0.259845746,0.198150194,0.083197059,0.139283661,0.140428371,0.167189462,0.153966123,0.202341671,0.144152114,0.151092519,0.119856867,0.056302334,0.252229487,0.04317841,0.040154437,0.250194133,0.005526491,0.090698418,-0.02329523,0.032280061,-0.023980273,0.275452678,0.140772735,0.108192751,0.072209268,0.131252256,0.108458634,0.017741364,0.380603315,0.311056118,0.308016535,0.262658201,0.096212984
bear,0.286686372,1,0.329005031,0.448541979,0.270041538,0.068971909,0.212858317,0.244694177,0.158877557,0.234774756,0.119705247,0.026627732,0.200675169,0.154451098,0.112430895,0.215994947,0.055498545,0.041058932,0.129845228,0.155637022,0.14932174,0.089258951,0.09352128,0.252572446,0.141525492,0.069760067,0.005880497,0.162695801,0.113627459,0.094673513,0.110643395,0.103485725,0.140116146,0.141715871,0.101715007,0.168345921,0.199868601,0.131377764,0.072753814,0.070221121,0.017659182,0.122119308,0.207424258,0.046916065,0.164850658,-0.020582773,0.041445157,-0.039596424,0.257595327,0.186824671,0.066342883,0.009326635,0.078560236,0.070899562,0.030128427,0.09933239,0.15460614,0.13249026,0.174130927,0.080308955
cat,0.472631498,0.329005031,1,0.681477403,0.33473306,0.18349535,0.129896851,0.222811349,0.2064707,0.339674363,0.15555894,0.126189096,0.275501214,0.204916754,0.015416969,0.225514393,0.226507771,0.145548983,0.144927751,0.048930622,0.149063456,0.215363764,0.129338582,0.236521681,0.186434137,0.14516109,0.068817869,0.271454247,0.138482501,0.20699658,0.260914689,0.157290507,0.252186465,0.305634666,0.177507002,0.169869541,0.215830211,0.148108282,0.131217538,0.120904884,0.115880496,0.000889176,0.240969405,0.136973087,0.11832009,0.046201804,0.125532589,-0.003577771,0.206103319,0.063688157,0.062369074,0.014575703,0.086627241,0.13705181,0.007756779,0.151628773,0.150345721,0.096015339,0.099717214,0.143851988
dog,0.536652663,0.448541979,0.681477403,1,0.404271197,0.203003047,0.218370349,0.319654122,0.268763266,0.292828946,0.215631592,0.103156443,0.280662578,0.286791855,0.044705415,0.272968166,0.185676236,0.078005107,0.163536216,0.015200898,0.231693573,0.20300086,0.12301347,0.290885912,0.206661329,0.180005093,-0.00822934,0.300556154,0.212123455,0.154290372,0.244027317,0.118589398,0.219473847,0.232561234,0.174585854,0.270261291,0.220030245,0.097747672,0.184683297,0.096736929,0.10400241,0.037898936,0.302549773,0.164261401,0.1649997,0.073924203,0.082087733,0.042140807,0.259348049,0.109510145,0.151983008,0.040794659,0.187922435,0.171616371,0.086122602,0.266687438,0.293121338,0.185631435,0.244671862,0.190046291
cow,0.420264935,0.270041538,0.33473306,0.404271197,1,0.121158514,0.096690169,0.147283943,0.298244916,0.167595841,0.061780945,0.094330973,0.287590929,0.12564887,0.102692253,0.173499809,0.101615179,0.06632757,0.068483857,0.052308634,0.081101025,0.093877929,0.130639332,0.160816397,0.121109558,0.041191328,-0.025739496,0.157994462,0.083279923,-0.02780106,0.123308017,0.020485068,0.12964921,0.134777139,0.210819028,0.104510277,0.090829623,0.09892562,0.074029297,0.095301634,-0.004203214,0.081236151,0.103710868,0.042052561,0.123549892,-0.010582731,-0.002708648,-0.058918816,0.108844013,-0.003336513,0.192213813,0.128874295,0.286964194,0.151060623,0.214371449,0.13667841,0.138524561,0.159108796,0.194622719,0.04893697
leg,0.272362351,0.068971909,0.18349535,0.203003047,0.121158514,1,0.499729468,0.42853222,0.480148448,0.297550885,0.106283924,-0.045182832,0.080306644,0.068020635,0.010630447,0.186642131,0.01843403,0.105355697,0.211517799,0.249826513,0.245295619,0.287079628,0.169477874,0.154956482,0.126659226,0.242820962,0.015215692,0.265374323,0.277990988,0.104273755,0.095030171,0.220355433,0.269403819,0.085377716,0.004213297,0.265736823,0.175899634,0.146963644,0.140126844,0.399964561,0.100222094,0.144747149,0.122072053,0.062277454,0.189942638,0.122118677,0.112301202,0.084866079,0.305788365,0.177225495,0.052370789,0.095268646,0.058500196,0.089643144,0.092359325,0.244280494,0.233785861,0.182177199,0.166363816,0.106198713
arm,0.196819862,0.212858317,0.129896851,0.218370349,0.096690169,0.499729468,1,0.533955085,0.3542854,0.328294315,0.062725087,-0.088138536,0.026612258,0.154134425,0.10607542,0.200938531,0.02722081,0.123214621,0.258206011,0.181205765,0.184459137,0.139151498,0.166453685,0.221849372,0.114651175,0.29264734,0.067315188,0.201276465,0.144997265,0.172608345,0.066859218,0.067530954,0.210009229,-0.017256348,-0.043747911,0.3012358,0.199779015,0.181449729,0.120684934,0.057624644,0.140461566,0.194537494,0.27380504,0.071231796,0.213273218,0.133419457,0.115313184,0.0676964,0.244201747,0.240117524,0.012505424,0.017074323,0.058800496,0.088569483,0.037818836,0.163585499,0.248330796,0.170557498,0.184061589,0.113811351
hand,0.278092502,0.244694177,0.222811349,0.319654122,0.147283943,0.42853222,0.533955085,1,0.42494698,0.377430158,0.192714481,-0.129354578,0.099559362,0.318486239,0.222460933,0.428414373,0.140822367,0.088955869,0.325521176,0.127149215,0.312411338,0.251501094,0.148633606,0.277858985,0.267839785,0.376738893,0.079286521,0.309655319,0.432830738,0.286812797,0.03087131,0.121071687,0.2642203,0.007171496,0.030661079,0.454715931,0.314010973,0.317099578,0.21271862,0.180900562,0.266233106,0.366421391,0.325432093,0.152700663,0.198615434,0.194218514,0.101893725,0.099309358,0.398621091,0.319505717,0.061885492,0.022273556,0.144775885,0.145680881,0.072630007,0.17682783,0.344559447,0.234508404,0.255224164,0.201394853
foot,0.358354124,0.158877557,0.2064707,0.268763266,0.298244916,0.480148448,0.3542854,0.42494698,1,0.28255862,0.318050852,-0.047872663,0.219705356,0.259086247,0.152375463,0.300569908,0.125016104,0.170500886,0.285066047,0.220057664,0.203194755,0.21887857,0.146994883,0.175081759,0.151354763,0.239879116,0.015842127,0.36802306,0.210271517,0.192358073,0.043550801,0.080536469,0.223601099,-0.033433133,0.07328313,0.197102172,0.160028927,0.248568479,0.065995525,0.159572991,0.087084884,0.135061814,0.243980916,0.108442224,0.107604652,0.038753143,0.040075428,-0.015781016,0.225020435,0.125609264,0.048964777,0.027826836,0.09774509,0.010737444,0.088391815,0.307219581,0.296053912,0.235207133,0.237178387,0.134077058
eye,0.262356052,0.234774756,0.339674363,0.292828946,0.167595841,0.297550885,0.328294315,0.377430158,0.28255862,1,0.05508796,-0.110457424,0.059573793,0.143031524,0.052030606,0.272742516,0.041255866,0.039421166,0.289668645,0.14422238,0.222580929,0.166874735,0.179296723,0.200561445,0.202839761,0.128093586,0.058226923,0.206922199,0.164018501,0.118558399,0.069412964,0.082774098,0.2166224,0.185890947,-0.016409143,0.236860242,0.209986669,0.288755666,0.139580851,0.126766736,0.080699438,0.190783715,0.366789026,0.061993814,0.14977706,0.093951798,0.061767321,0.103410618,0.309862622,0.112449937,0.078706227,0.05860814,0.091877061,0.1087312,0.065395358,0.051330713,0.205691452,0.111997662,0.058834118,0.091602324
