term,horse,bear,cat,dog,cow,leg,arm,hand,foot,eye,apartment,igloo,barn,house,church,door,closet,chimney,window,arch,shirt,pants,skirt,coat,dress,chair,dresser,bed,table,desk,ant,butterfly,fly,bee,beetle,knife,bottle,glass,spoon,cup,telephone,key,watch,refrigerator,bell,screwdriver,chisel,pliers,saw,hammer,tomato,celery,corn,carrot,lettuce,bicycle,car,train,truck,airplane
horse,1,0.425658337,0.494871627,0.608044385,0.373956047,0.622507426,0.560795726,0.478458282,0.768878223,0.273204318,0.572149503,0.327301833,0.678221449,0.176592775,0.04487021,0.533700616,0.360507092,0.457665862,0.368852767,0.647691322,0.217880956,0.228456787,0.266617785,0.243120242,0.157613336,0.553816842,0.4465558,0.593557518,0.2272358,0.477484733,0.202079425,0.633311478,0.761903969,0.321470049,0.417660635,0.506327378,0.321348015,0.313883639,0.229721448,0.66410783,0.255573571,-0.029521585,0.412887365,0.359952972,0.559306594,0.406836456,0.416198102,0.394152837,0.409548978,0.597505856,0.034188425,0.031353123,0.14022376,0.065867453,0.064584982,0.881254594,0.781485833,0.753457334,0.817133071,0.761671787
bear,0.425658337,1,0.855321869,0.824591308,0.713763195,0.499152857,0.370212186,0.592914903,0.453578433,0.627896906,-0.000612169,0.397503629,0.15188592,-0.398539694,-0.48849526,0.336189053,0.536109203,0.368701112,0.127591506,0.302327982,0.350961339,0.420663808,0.371296436,0.454904417,0.370037357,0.166156798,0.424593885,0.530760698,0.026619779,0.359990967,0.662827112,0.725259009,0.597800508,0.874857934,0.592747706,0.576999661,0.542508823,0.422882391,0.564015693,0.273485615,-0.097536836,-0.194435832,0.714287342,0.354806994,0.53141086,0.387329402,0.429467633,0.407865055,0.324895278,0.554143517,0.413138723,0.408554104,0.480561754,0.470766439,0.459973413,0.217521933,-0.00210305,-0.054911889,0.22587123,0.29907144
cat,0.494871627,0.855321869,1,0.971388678,0.838386826,0.477613023,0.332319007,0.645293033,0.457988625,0.757047167,0.191351014,0.309013763,0.335038668,-0.270118508,-0.406081629,0.365273914,0.542073877,0.453081755,0.195429772,0.305036438,0.311210286,0.386809681,0.345141824,0.535309325,0.343655384,0.2226207,0.557222183,0.663354394,0.119492065,0.390169477,0.65782973,0.776905092,0.457107934,0.870669156,0.691543157,0.62137247,0.641402184,0.530321392,0.650747338,0.345574888,-0.019487944,-0.157966221,0.542569718,0.48965377,0.496424557,0.364425565,0.456948717,0.405384803,0.220785906,0.49586624,0.538687922,0.525519846,0.596012084,0.576082214,0.564985672,0.200232396,0.09112101,-0.052938838,0.210033693,0.25437462
dog,0.608044385,0.824591308,0.971388678,1,0.852891824,0.493705354,0.337406523,0.615224361,0.508498968,0.672322868,0.24825857,0.336307704,0.420630391,-0.242954571,-0.378562721,0.379862043,0.53261939,0.506661337,0.153903857,0.34091582,0.315858886,0.400133728,0.355444585,0.538280166,0.332165612,0.222707206,0.568032321,0.713356188,0.052170566,0.367724199,0.593729711,0.795254496,0.506426113,0.824189529,0.71741311,0.634806294,0.66306692,0.543530558,0.650344888,0.376826297,-0.062387605,-0.254590963,0.502979029,0.52823278,0.490783797,0.367001388,0.467598556,0.412185621,0.203313496,0.509268759,0.540752963,0.529451069,0.615176373,0.580292736,0.576693935,0.335797357,0.20217575,0.060335893,0.328392611,0.34503772
cow,0.373956047,0.713763195,0.838386826,0.852891824,1,0.426331342,0.226110148,0.474870462,0.385946689,0.569224052,0.077570658,0.410693801,0.354389664,-0.339027835,-0.432299964,0.174898473,0.511113916,0.492095626,-0.011532666,0.211380294,0.225224706,0.326994766,0.304024089,0.566578816,0.237984338,-0.119633799,0.553946837,0.583106356,-0.083850343,0.165014492,0.737231098,0.783240815,0.365061731,0.877140383,0.891535284,0.651182729,0.763517882,0.550464596,0.899362241,0.273778047,-0.295591457,-0.368728394,0.179834848,0.585833935,0.154398424,0.426718421,0.54218456,0.508225452,-0.168734971,0.437103477,0.845352797,0.853491655,0.886725826,0.881875648,0.879837253,0.146570644,-0.068537379,-0.199096168,0.176094658,0.220270529
leg,0.622507426,0.499152857,0.477613023,0.493705354,0.426331342,1,0.950663803,0.86861696,0.938283362,0.665754919,0.355330967,0.42418081,0.352417426,-0.164789302,-0.245648228,0.645203367,0.65221501,0.664068105,0.416269483,0.746321426,0.415289063,0.403601942,0.525320717,0.486012986,0.325341508,0.508601886,0.760174783,0.638198778,0.212364909,0.620267934,0.292682751,0.704932859,0.68962033,0.374175963,0.383563907,0.882758769,0.528444455,0.541452271,0.509378067,0.46258113,0.104065148,0.089595065,0.356705507,0.547836099,0.536790769,0.838632274,0.847571772,0.856781059,0.282328176,0.937846042,0.121953075,0.150509558,0.187824751,0.170871737,0.152991967,0.622953615,0.392577497,0.318813569,0.621265371,0.674845308
arm,0.560795726,0.370212186,0.332319007,0.337406523,0.226110148,0.950663803,1,0.849810045,0.921107718,0.57482012,0.367290689,0.409716171,0.316119862,-0.103342769,-0.167236797,0.733599483,0.660300465,0.660369954,0.535068004,0.799990242,0.299398249,0.270491681,0.412763944,0.315395723,0.197465606,0.621386165,0.702404632,0.577611252,0.291461941,0.71914941,0.20505557,0.570594772,0.659369352,0.22320084,0.21631627,0.80673058,0.396388513,0.47732484,0.330917674,0.389766103,0.218933563,0.27136259,0.343592302,0.518868426,0.601626274,0.850414078,0.821052903,0.828939578,0.336309511,0.941300722,-0.084931405,-0.059973568,-0.002684452,-0.042513705,-0.052242409,0.631495319,0.443035713,0.365543928,0.676337248,0.728816476
hand,0.478458282,0.592914903,0.645293033,0.615224361,0.474870462,0.86861696,0.849810045,1,0.836188243,0.834661205,0.367627219,0.458631611,0.308754324,-0.214028467,-0.332950321,0.744310964,0.809234347,0.760617194,0.558919117,0.710911067,0.475094201,0.479104238,0.562475691,0.590449884,0.409722446,0.560908247,0.867252265,0.780983927,0.369255402,0.767480521,0.35040881,0.690979254,0.558651355,0.469081304,0.344029026,0.89464881,0.66919325,0.757420546,0.543944916,0.375162177,0.191097136,0.200194313,0.452356721,0.70747806,0.612635519,0.817704019,0.837847305,0.820853346,0.293553604,0.868755292,0.132843872,0.141948906,0.203536143,0.170981183,0.163031352,0.433539557,0.283641227,0.098675434,0.471627227,0.514257958
foot,0.768878223,0.453578433,0.457988625,0.508498968,0.385946689,0.938283362,0.921107718,0.836188243,1,0.557028434,0.538382051,0.500258924,0.558133302,0.025015025,-0.085368325,0.755480694,0.68554603,0.756855505,0.535412369,0.87225069,0.351661864,0.345983755,0.464993404,0.423350366,0.244698958,0.642436735,0.775603281,0.738928239,0.32504785,0.72826112,0.224855963,0.698197056,0.756807259,0.330593159,0.371096616,0.831237883,0.542671989,0.593991437,0.439515893,0.556618632,0.247099108,0.121484559,0.362266425,0.6363124,0.638864701,0.816387986,0.809129922,0.810248887,0.329001413,0.914477094,0.033680153,0.055526961,0.129427446,0.077842972,0.070759655,0.777014546,0.609938979,0.510847471,0.802496299,0.807993121
eye,0.273204318,0.627896906,0.757047167,0.672322868,0.569224052,0.665754919,0.57482012,0.834661205,0.557028434,1,0.147001353,0.226448453,0.113657852,-0.324566087,-0.410776047,0.441264657,0.621961078,0.522541859,0.300848694,0.441427434,0.440016719,0.455708674,0.505460874,0.61745087,0.452275384,0.26459573,0.717482584,0.582896485,0.164586694,0.492974867,0.401974922,0.626729488,0.244534446,0.59862716,0.395894887,0.737412844,0.637500249,0.632416088,0.587716733,0.234092898,0.034199054,0.069669163,0.337432775,0.481063082,0.430590536,0.539359761,0.593531917,0.565159174,0.114727227,0.603666491,0.340002485,0.329121023,0.311497217,0.357504691,0.312840003,0.119558039,-0.000646425,-0.205909562,0.121128234,0.220484416
