term,airplane,ant,apartment,arch,arm,barn,bear,bed,bee,beetle,bell,bicycle,bottle,butterfly,car,carrot,cat,celery,chair,chimney,chisel,church,closet,coat,corn,cow,cup,desk,dog,door,dress,dresser,eye,fly,foot,glass,hammer,hand,horse,house,igloo,key,knife,leg,lettuce,pants,pliers,refrigerator,saw,screwdriver,shirt,skirt,spoon,table,telephone,tomato,train,truck,watch,window
airplane,1,0.211007776,0.465550909,-0.144199519,-0.026722238,0.641944564,0.23864479,0.553077049,0.428288392,0.194541501,0.335479199,0.554368251,0.207031869,0.158962969,0.513888767,-0.0259179,0.274624098,0.132213081,0.18749818,0.383437905,-0.287226489,0.353882981,0.045368772,-0.009802463,0.141625376,0.48379448,0.127419428,0.089281097,0.486288576,0.025429365,-0.103794982,-0.033817651,-0.074073507,0.076099364,0.063018841,0.106616999,-0.105857068,-0.046560913,0.567621954,0.526783502,0.404005047,-0.469633622,0.217407016,0.257856251,0.265894381,0.080418641,0.169825642,0.197064977,0.378840475,-0.049878718,-0.075724477,-0.096265997,-0.017501081,-0.184862248,0.1861124,0.216507416,0.500694836,0.629797264,0.177313087,0.04233547
ant,0.211007776,1,0.274911519,-0.206517956,-0.272190427,0.154480376,0.337044167,0.378184052,0.524637358,0.657513538,-0.2000227,-0.323051684,0.370095562,0.531057066,-0.092328759,0.546824446,0.634114023,0.689011266,-0.18871513,0.444277149,0.127859489,0.023183696,0.168544572,0.118858059,0.695241086,0.633951079,0.28885547,0.233684356,0.326762361,-0.011673484,0.056262945,0.360277455,0.282454551,-0.3066576,-0.424343649,0.23162477,-0.136644375,0.0739312,-0.068614998,0.358984433,0.137879463,-0.238004721,0.47584875,-0.299693531,0.564699587,0.057770114,0.364875866,0.554766907,0.255251567,0.088152231,-0.098161971,-0.370104647,0.50881796,0.346010405,-0.278170104,0.6427216,-0.181554551,0.117471405,0.132961876,0.093005679
apartment,0.465550909,0.274911519,1,-0.387239571,-0.303563978,0.556422063,0.280686896,0.340789755,0.315209921,0.271369308,0.352756868,0.189292401,0.210805681,0.178336792,0.341440912,-0.077971297,0.469990876,0.155493399,-0.113129342,0.570223618,-0.077895189,0.481656782,0.124038631,-0.120247271,0.293231682,0.587881346,-0.066845316,0.064345661,0.433211954,0.060434186,-0.131676492,0.019196975,-0.333014261,-0.122699348,0.055627335,0.102791116,-0.093782005,-0.427964757,0.055371497,0.900629956,0.37379534,-0.242659565,0.355643139,-0.073034351,0.255737285,-0.095507766,0.077543199,0.376921111,0.258502074,0.014258364,-0.076763953,-0.269540738,-0.129791074,-0.112665492,0.269276905,0.187415942,0.221163085,0.570203039,-0.033357761,0.124351728
arch,-0.144199519,-0.206517956,-0.387239571,1,0.536504402,-0.044405867,0.005718304,-0.233086701,-0.295585735,-0.306724842,-0.149154465,0.024621577,-0.21394078,0.120339997,-0.155505231,0.086493431,-0.317289617,-0.223938074,0.142301625,-0.21264422,0.119629833,-0.24923408,-0.134351433,0.206756273,-0.451035338,-0.345735639,-0.013363807,-0.200014124,-0.322507891,-0.016673722,0.039767789,0.182854209,0.280051121,0.27788891,0.458262729,-0.077526096,0.079860028,0.350358922,0.090940619,-0.409614542,-0.377734341,0.325864287,0.030775991,0.570721496,-0.251351722,0.234428642,0.014899611,-0.655321631,0.016311752,0.07710978,0.362970992,0.365705032,-0.219253367,0.063113652,-0.205115722,-0.299811083,-0.056540427,-0.358423338,-0.20828751,-0.218047615
arm,-0.026722238,-0.272190427,-0.303563978,0.536504402,1,-0.102203445,-0.087224608,-0.188090036,-0.378665149,-0.213992224,-0.20176874,0.15529162,-0.265133806,0.09218848,0.00920177,0.330286054,-0.116515241,-0.435425212,0.237932279,-0.421305051,0.288621142,-0.287562246,-0.151646295,-0.080061746,-0.488078953,-0.387073146,-0.048691409,0.031005397,-0.353043011,0.159401895,-0.357609561,-0.029024669,0.243981833,0.359915169,0.316906014,-0.1801774,0.574436491,0.561511175,0.108180391,-0.303247092,-0.451405726,0.607739725,0.045113378,0.54617625,-0.414556356,-0.163097547,0.073402694,-0.439360165,-0.158941541,0.159519517,0.009257631,0.290694634,-0.150731058,0.226425004,0.114747597,-0.451301636,-0.093958936,-0.178813314,-0.315134756,0.065167863
barn,0.641944564,0.154480376,0.556422063,-0.044405867,-0.102203445,1,-0.001724167,0.575512844,0.294837062,0.13295739,0.431681815,0.579138352,0.276381217,0.277102493,0.495251186,0.027051065,0.348497088,0.244393467,0.0853716,0.422743338,-0.15450729,0.28587683,-0.061117894,0.165851885,0.187661759,0.522592415,0.121064839,-0.024011393,0.619392549,0.081172246,-0.120387243,-0.011681151,-0.158875027,0.075296958,0.233314253,0.234852563,-0.163459839,-0.269227999,0.619944462,0.563882307,0.423193013,-0.463930026,0.346741455,0.387256068,0.314719863,0.091827935,0.110169273,0.262218202,0.24631809,0.015849777,0.006119671,-0.170350763,-0.02094514,-0.161813167,-0.071089549,0.16810323,0.632458252,0.530563894,-0.024702931,0.137440576
bear,0.23864479,0.337044167,0.280686896,0.005718304,-0.087224608,-0.001724167,1,0.24155028,0.264288582,-0.028867558,0.217203887,-0.027948759,0.008116309,0.229043217,0.097971753,0.005713311,0.285082559,0.208634051,-0.062668374,0.255410025,-0.11923326,0.328682297,0.403378508,-0.095160429,0.277387223,0.234583974,-0.016120813,-0.161577929,0.166897332,0.297840615,0.260726438,-0.030693485,0.168763329,0.141491739,-0.100589817,0.027780767,0.121394761,-0.018623307,0.010264455,0.422949074,-0.028140712,-0.01131391,0.24365832,-0.103234718,0.327632315,0.183502442,0.100171264,0.108513627,0.490997039,-0.288417926,0.208447303,0.088808537,0.043537699,0.110712257,0.103322576,0.271107922,0.042124247,0.136702455,0.457823152,0.104823119
bed,0.553077049,0.378184052,0.340789755,-0.233086701,-0.188090036,0.575512844,0.24155028,1,0.36096497,0.398003798,0.381370727,0.298011591,0.412466099,0.369602254,0.284796579,0.078702801,0.429699433,0.510531022,0.238615311,0.578607494,-0.031066389,0.284544656,0.329678092,0.301252113,0.437641125,0.419169588,0.424799206,0.32012577,0.591906502,-0.081019668,0.230263435,0.366901051,0.049769898,0.145880859,-0.060562046,0.301404835,-0.002801389,0.128346849,0.336446703,0.423499474,0.324325399,-0.507438992,0.298648643,0.090721798,0.648420045,0.370516039,0.482355859,0.543484691,0.158684482,0.183379279,0.195454296,-0.082797312,0.48613683,0.303555648,0.10560463,0.258978495,0.487367765,0.415656748,0.384330385,-0.078996783
bee,0.428288392,0.524637358,0.315209921,-0.295585735,-0.378665149,0.294837062,0.264288582,0.36096497,1,0.572354794,0.175056341,-0.089703107,0.648588623,0.380997124,0.192967462,0.132379071,0.614959492,0.5633894,-0.217832534,0.582526209,-0.18302717,0.374907496,0.375927079,0.369057423,0.403565217,0.562525045,0.442712302,0.220534353,0.563016791,0.331515391,0.133249533,0.316648772,0.297022652,-0.243158093,-0.235862172,0.613299481,-0.179212748,0.141129282,0.070547332,0.433251005,0.199779228,-0.454943693,0.372090797,-0.160138766,0.484406625,0.183163006,0.311329851,0.647205816,0.157179795,0.095469147,0.059230296,-0.539780701,0.345104438,0.042284128,0.006015329,0.655715248,-0.015651994,0.171850015,0.114964774,0.103693559
beetle,0.194541501,0.657513538,0.271369308,-0.306724842,-0.213992224,0.13295739,-0.028867558,0.398003798,0.572354794,1,-0.189377823,-0.220061996,0.724962956,0.299712763,0.048986951,0.499143941,0.484151718,0.621790202,-0.284011649,0.56253852,0.134419083,0.204750114,0.157275268,0.316794747,0.542664983,0.446438672,0.581101315,0.413074303,0.25674014,-0.17087007,0.026954113,0.628318534,0.341377579,-0.377749011,-0.25399685,0.495392503,-0.076747528,0.249880567,-0.262806492,0.235585216,0.018108017,-0.202798478,0.475748692,-0.136494219,0.587657665,0.17806944,0.474988664,0.652890669,0.153345159,0.397149249,0.090169077,-0.38443797,0.469743358,0.322655109,-0.266652519,0.514986141,-0.153241063,0.204128846,0.014541677,-0.169462358
