term,horse,bear,cat,dog,cow,leg,arm,hand,foot,eye,apartment,igloo,barn,house,church,door,closet,chimney,window,arch,shirt,pants,skirt,coat,dress,chair,dresser,bed,table,desk,ant,butterfly,fly,bee,beetle,knife,bottle,glass,spoon,cup,telephone,key,watch,refrigerator,bell,screwdriver,chisel,pliers,saw,hammer,tomato,celery,corn,carrot,lettuce,bicycle,car,train,truck,airplane
horse,1,0.523867022,0.618680588,0.725261468,0.690057893,0.365799179,0.343272771,0.40364619,0.464274232,0.315836417,0.103897149,0.190889216,0.330084338,0.195368295,0.127445508,0.268074336,0.180504498,0.186858484,0.16066828,0.191415659,0.219050849,0.232058807,0.204435772,0.358723424,0.223262404,0.181845723,0.192455029,0.30433187,0.219666787,0.240359635,0.26293607,0.346895916,0.234542077,0.330335686,0.305667958,0.349722207,0.227522089,0.205752101,0.228317884,0.199711855,0.029660817,0.130476421,0.344548502,0.077847642,0.249521286,0.179687877,0.216193119,0.187087464,0.25848273,0.375067253,0.130042934,0.049101333,0.224821453,0.132266723,0.100890377,0.539524117,0.348172589,0.329374628,0.435010509,0.228675418
bear,0.523867022,1,0.691503505,0.666870668,0.567478404,0.266826269,0.296030521,0.37325386,0.328768334,0.368956127,0.116960849,0.261028197,0.257998737,0.14276601,0.093030616,0.212196342,0.217805531,0.216580955,0.133691671,0.25139536,0.272623945,0.290386478,0.248942372,0.392847204,0.322178652,0.165250638,0.190868664,0.332802524,0.161137779,0.205933009,0.443344189,0.492123369,0.330440734,0.529622768,0.46738004,0.333067579,0.245609606,0.234084055,0.262878937,0.144924376,0.024790871,0.194638209,0.453195695,0.089916711,0.328985649,0.140846945,0.192964017,0.162405965,0.33566421,0.394802053,0.150657003,0.11961848,0.236432211,0.235640533,0.170682079,0.221160769,0.149052821,0.183713348,0.215974408,0.158101951
cat,0.618680588,0.691503505,1,0.917795464,0.682750323,0.31663789,0.327257082,0.410577449,0.331647521,0.457236421,0.155448602,0.249913197,0.241179109,0.127371775,0.059274202,0.308702123,0.297232592,0.198557092,0.202111339,0.155309405,0.275126386,0.325886622,0.240676264,0.409306252,0.297066914,0.203327412,0.214829905,0.391808925,0.211448582,0.279456755,0.48430337,0.444930151,0.289732678,0.528077227,0.444293104,0.353660449,0.279642174,0.225402089,0.275416392,0.135960262,0.038903248,0.151919587,0.393647799,0.124744258,0.312202357,0.189306314,0.155165577,0.167733423,0.274051619,0.371702318,0.15800101,0.091981929,0.206018202,0.230464543,0.152512589,0.214277099,0.219208216,0.188667576,0.241110047,0.198000134
dog,0.725261468,0.666870668,0.917795464,1,0.732841108,0.328021719,0.306214397,0.404361548,0.345089204,0.400518502,0.129662961,0.215498763,0.238793598,0.124922516,0.075825632,0.291750979,0.259755681,0.181186242,0.183400263,0.127491207,0.259799975,0.32412968,0.227401864,0.396862845,0.267363175,0.186516409,0.182915758,0.382689066,0.182444013,0.267433756,0.381024714,0.374564677,0.26157575,0.452439246,0.373372108,0.356200907,0.281027987,0.203460347,0.265820281,0.138356399,0.030492884,0.127292527,0.39087269,0.128435777,0.277452492,0.186724416,0.159567194,0.182551179,0.253019705,0.339623982,0.163572053,0.08569669,0.203100977,0.21683878,0.153501762,0.285927017,0.248245044,0.20946232,0.286017258,0.192996599
cow,0.690057893,0.567478404,0.682750323,0.732841108,1,0.317905347,0.247099657,0.280136511,0.334238362,0.326705105,0.107245759,0.266920739,0.355258849,0.09928618,0.047622588,0.202991654,0.251717443,0.240187399,0.128582957,0.178127102,0.228965122,0.272117756,0.230118482,0.387372031,0.214748653,0.123975915,0.215705443,0.28826249,0.140031085,0.180834873,0.375660057,0.351381491,0.210120858,0.435046782,0.387574061,0.317154022,0.312729354,0.23135873,0.389114594,0.134699448,0.015671797,0.083483159,0.260645611,0.142055035,0.241388877,0.172323971,0.195114923,0.169598903,0.170833926,0.347349144,0.310016777,0.203441665,0.436627055,0.335626896,0.284261515,0.237115247,0.154457064,0.136392132,0.266303588,0.182857904
leg,0.365799179,0.266826269,0.31663789,0.328021719,0.317905347,1,0.828095727,0.624733779,0.66517421,0.525847965,0.086757687,0.073998513,0.128380777,0.066205381,0.047106589,0.383885601,0.209813041,0.249716422,0.250822052,0.32307193,0.37724657,0.342518628,0.379637156,0.351043757,0.243881253,0.210781108,0.181717046,0.359597467,0.242361528,0.282955289,0.18171913,0.281163895,0.237775859,0.192331693,0.171695687,0.501967345,0.250461147,0.224126138,0.310143312,0.214150072,0.022744862,0.156956238,0.261966087,0.093295251,0.214695252,0.300231228,0.291644805,0.356254281,0.209264794,0.471072223,0.141125998,0.105017228,0.131655249,0.151700378,0.131325546,0.291212396,0.200359339,0.178979539,0.23358786,0.1764892
arm,0.343272771,0.296030521,0.327257082,0.306214397,0.247099657,0.828095727,1,0.735896073,0.626106417,0.514025036,0.098845693,0.09159837,0.139739349,0.115783864,0.079673035,0.469001404,0.243425323,0.264366753,0.292541911,0.343543474,0.298335341,0.26899234,0.345128505,0.319992868,0.226641426,0.277552447,0.192739032,0.374234011,0.245456321,0.393547574,0.202443014,0.281455308,0.246272037,0.190377733,0.192790433,0.589754447,0.274852052,0.277672203,0.316786974,0.119421689,0.032509383,0.204733043,0.290400605,0.124953251,0.296324884,0.3996912,0.356906077,0.431314558,0.21995587,0.575475348,0.061412486,0.05166683,0.117823197,0.104752247,0.077264847,0.318376806,0.253161781,0.197868006,0.314285403,0.23705778
hand,0.40364619,0.37325386,0.410577449,0.404361548,0.280136511,0.624733779,0.735896073,1,0.553883474,0.593244427,0.093856355,0.094871018,0.142258801,0.132442797,0.091373273,0.505765282,0.270495112,0.248617701,0.357227332,0.250438579,0.340911858,0.291747419,0.341476038,0.41924067,0.338715283,0.256614819,0.258674643,0.485969395,0.346377745,0.418286792,0.196921376,0.301437494,0.245897807,0.275787439,0.1837722,0.664993232,0.379896051,0.457090872,0.378456864,0.139364655,0.038393269,0.253587826,0.367586033,0.205438975,0.2699061,0.421663259,0.424015998,0.423009421,0.291943921,0.547792834,0.115942647,0.083966177,0.197266635,0.157287555,0.125014081,0.259915994,0.281584837,0.175045549,0.260597028,0.152023914
foot,0.464274232,0.328768334,0.331647521,0.345089204,0.334238362,0.66517421,0.626106417,0.553883474,1,0.465518124,0.125399004,0.111989776,0.207453759,0.162249171,0.087687518,0.374933385,0.194663131,0.353678275,0.264543266,0.355724725,0.223501707,0.236240255,0.269435865,0.298049062,0.192182636,0.211756963,0.181641754,0.393759943,0.251009981,0.280071892,0.200950433,0.277491842,0.249551992,0.241658848,0.206078362,0.434717352,0.257903582,0.277346205,0.269605552,0.157229399,0.045162884,0.159806611,0.280865736,0.111714297,0.256887723,0.28023688,0.300482753,0.293760936,0.246595144,0.429224235,0.097956355,0.067671122,0.165850644,0.123437266,0.090997688,0.354200447,0.259255428,0.23791531,0.314587519,0.188065603
eye,0.315836417,0.368956127,0.457236421,0.400518502,0.326705105,0.525847965,0.514025036,0.593244427,0.465518124,1,0.096432613,0.131673573,0.14956569,0.127294734,0.094028263,0.335447666,0.227645456,0.219529273,0.309246426,0.263380844,0.270894811,0.220825983,0.247821159,0.403944782,0.2736678,0.161442383,0.186376188,0.311667687,0.171963843,0.27732589,0.279627317,0.366097275,0.266178615,0.361892853,0.248719716,0.417421886,0.290589471,0.364352594,0.239933262,0.106337298,0.03073913,0.194408222,0.389499855,0.119909833,0.20797993,0.248223198,0.233891424,0.223955291,0.267176484,0.335421269,0.147737338,0.081820981,0.152468,0.16366138,0.12731489,0.162809089,0.180036098,0.145094792,0.132076376,0.148335355
