term,horse,bear,cat,dog,cow,leg,arm,hand,foot,eye,apartment,igloo,barn,house,church,door,closet,chimney,window,arch,shirt,pants,skirt,coat,dress,chair,dresser,bed,table,desk,ant,butterfly,fly,bee,beetle,knife,bottle,glass,spoon,cup,telephone,key,watch,refrigerator,bell,screwdriver,chisel,pliers,saw,hammer,tomato,celery,corn,carrot,lettuce,bicycle,car,train,truck,airplane
horse,0.0,-0.028604692499866413,0.022749140936646706,0.05147998976284507,-0.17838951793679747,-0.02952083800645322,-0.16916962512574463,0.05393755061016303,-0.029505316078639376,-0.2451783305742603,0.08689386566082702,0.019560804283602296,0.07550002944506917,0.06061315764841224,0.040896897814957534,0.012518066522262727,-0.07538377683705666,0.06329068646006097,0.016200190986929264,0.034196007823156016,0.08908392116468722,-0.03279182812556525,0.08995634058208923,0.01855037215208344,0.03218637031115368,0.09771541223456082,0.08744525619070531,-0.0501382897707815,0.047167056015351094,0.05054250247413472,0.011856835770903906,-0.023883305969139568,0.08827098351500695,0.12594774732875336,-0.0022941140146776062,-0.061305381806783577,0.09106035969382431,0.13410482610383045,0.06172597741456587,0.04693918998216495,0.12204468860956619,0.16504457976558795,-0.011620081501177437,0.21269913267317708,0.005419913394440812,0.09723355050743665,0.1305620905484548,0.023768107862037202,-0.04342791911287591,0.07920499829991157,-0.14454331190992042,-0.18533289032748057,-0.2098452974743119,-0.1047663867228179,-0.18577571370677382,0.07410598820090253,0.16823992808635913,-0.04464661393828573,0.10516275563120459,0.16172788962930695
bear,-0.028604692499866413,0.0,-0.13230916992463604,-0.12900921793988962,-0.40278840652242826,-0.01435558203420828,-0.3445253748743391,-0.1516937292038817,0.013700154034280154,-0.19877960530975514,0.04152008466530943,0.021332172662460458,0.12738058892239335,0.03188110748076478,0.07965115434606118,-0.04810881684060242,-0.07028745585471152,0.015913768216314295,0.02541866942917803,-0.06835213738070711,-0.07708783344129666,-0.07749372123100406,0.049718725011118514,-0.1361606039865184,-0.07555687924206178,-0.10092353138456267,-0.12155470236955368,-0.06572907817229301,-0.008523684267540799,-0.06504718594726977,-0.18431986691486502,-0.08699967018825172,0.0030632277135466124,0.04738075284621679,-0.09972262227696171,-0.1678007524085957,-0.07215825143064702,-0.017826975301186487,-0.08625444107314151,-0.07818926826435335,0.06715239618430147,-0.01830992996712333,-0.040908336088317454,0.07995883297991258,-0.028077650978240776,-0.06081560483714277,0.14616663347003378,-0.20211455509410559,-0.11462528014231521,0.07754175548093523,-0.2766858276334423,-0.2828778495316203,-0.2158323345704194,-0.21845246504652438,-0.2736320148745888,-0.03168161789916468,0.13280535344157873,0.058202387834624725,0.15234486956741455,0.2192665118046695
cat,0.022749140936646706,-0.13230916992463604,0.0,-0.014550211782072164,-0.07360834132332794,-0.016472208883870687,-0.13260046733274822,-0.025707396565981422,0.02909457298208995,-0.19113621925276325,0.0930875498406597,0.03885069651818718,0.07992940015790861,-0.05228245969756784,0.16822923995430783,0.07049071511228622,-0.014446348979894164,0.10791514974422078,0.011382816434140963,0.010909770430563848,0.08656974088224278,0.049185588951621395,0.021332933223245254,0.06589341883915323,0.05227682448684512,-0.04237923330461224,0.10228342953868286,-0.018192881872104216,0.1092931025926015,0.07658742351615921,0.04401152832366739,-0.3316020130387305,0.05645704003411256,0.0291807300069431,0.12589169189350846,0.004413739713995057,-0.0005306361836445728,-0.04446015310794271,-0.00041441116658347266,-0.022457606050656942,0.18458596525425275,-0.015971947257008123,-0.04250815187219514,0.18695715981551242,-0.03590545079597507,0.09691792446876102,0.17029300251757395,0.09807092073434753,-0.0545164636536809,0.12278423407624617,-0.18421560404370363,-0.17250714979103599,-0.2214444360865392,-0.23905330574871408,-0.20997209036100317,0.0005562086037338432,0.050944831535521984,0.039946573086776516,0.14138071259250085,0.06745021383445904
dog,0.05147998976284507,-0.12900921793988962,-0.014550211782072164,0.0,-0.16127054860803802,-0.1204077315741936,-0.1668213422977607,-0.027766585691031076,-0.047689475286152416,-0.3342923031107656,0.08201661868246657,-0.039781737693514785,0.12829202844265486,-0.012936133701680896,0.12409437555677338,-0.011737682724661469,-0.1306386364103066,0.10014276801175814,-0.04850380210828198,-0.0068371849977527654,0.020571788666398416,-0.07080622767923361,-0.005967919259421417,0.01083920675441874,-0.006107724419471605,-0.07658662106355463,0.04394323055943439,-0.036136976243694385,-0.0006138138987205055,-0.004475646287222523,-0.11106970458337273,-0.2294034587688103,0.03637269544259725,-0.003436290281545795,-0.024605377643408755,-0.12826833546521776,-0.020405772480659445,0.006847367845302377,-0.012553249240141229,-0.019264848809562585,0.15220623123235943,0.04598220790943708,-0.11611457656009727,0.217714707903932,-0.05541181605711243,0.0570579181967924,0.125115777433079,-0.00015662102678248857,-0.14190469425395735,0.1061920186748887,-0.1476245442601387,-0.13957536970168538,-0.10510753079441304,-0.11974774741901595,-0.1998461989355177,0.024575251044475332,0.14991572029683686,-0.041403765314089847,0.10724990976283233,0.10076900237417297
cow,-0.17838951793679747,-0.40278840652242826,-0.07360834132332794,-0.16127054860803802,0.0,-0.10051894928542793,-0.21445450403806465,-0.22524285478970874,-0.05634805595123615,-0.14911634250464478,-0.02303571127949966,-0.030709796683922264,-0.016763924651271744,-0.15194016849920167,0.03834731385453116,-0.107851870814348,-0.013368247846992976,0.058076166644813076,-0.0941257266262161,0.003582140791797195,-0.08489574527654498,-0.13454217293048998,-0.22932994347235502,-0.15805733542414935,-0.1837525578179624,-0.22867842541665517,-0.08665918758693525,-0.26069531715061356,-0.051705448940958076,0.01903585737832325,0.012181065676993952,-0.4655395180096736,-0.019764395520218137,-0.047988247712479115,0.012862854866512285,-0.04772388190653021,-0.09531831135174251,-0.1356332484474968,-0.1337946601975113,-0.12043691999138839,0.061872560688467027,-0.18737745508721282,-0.13230839454787424,0.01877833612421631,-0.14093938572166753,-0.05767703679000857,-0.1241853083620984,-0.10784166622662494,-0.15883305881332155,-0.07703783538758546,-0.2463595266782076,-0.21167169962050125,-0.30916151334106845,-0.31946909371623616,-0.295844741479312,-0.17698963843715798,-0.06556201479961354,0.07714040731186644,0.07763904359420659,0.02793494151849163
leg,-0.02952083800645322,-0.01435558203420828,-0.016472208883870687,-0.1204077315741936,-0.10051894928542793,0.0,-0.18561191818023315,-0.061950130436569606,0.043306491699172,0.005443759832119421,0.12100852395295913,0.19202975805512257,0.04467658246930306,0.06868431330028568,-0.04854347018791538,-0.07993257930177411,0.05528688342696253,0.11398380733247548,0.029204853300337397,0.07690213642258481,0.08316188769290045,0.07664463433802682,-0.03904163325804777,0.027711783355056974,0.06286567143004096,0.014504800663789452,0.14085684693341272,0.07471744831910199,0.11402960574472576,0.10179380871346799,0.1614715129487947,-0.15923182171744177,0.018801651402538866,-0.0048317856702602135,0.13224798562783557,-0.07489807083191957,-0.020906854784617956,0.015582884923457274,0.0029833387094049257,-0.02678112430668933,-0.028236378608462953,-0.0059382158793688244,0.07743281891918707,0.10106879753366205,-0.29229111682755315,0.09101805476725078,0.05421671844721698,-0.0036195090262741703,-0.09827938637837286,-0.08497326098971603,-0.047954853299738254,-0.11804621195355247,-0.015412224942371378,-0.11498691731216726,-0.0429369242395059,0.027260914441645134,-0.051379603003284924,-0.2235784129002284,0.027612550838015837,0.011529347379824806
arm,-0.16916962512574463,-0.3445253748743391,-0.13260046733274822,-0.1668213422977607,-0.21445450403806465,-0.18561191818023315,0.0,0.027587616796958758,-0.18279856930951188,-0.30068200497145625,-0.05680554696151985,-0.05247815481556051,-0.21272120564030583,-0.10944035001289332,-0.1444213481037575,-0.031197411291488564,-0.07418064703125271,-0.06824643710809186,-0.10488331949342034,-0.14720648202861475,0.02765981880324242,-0.05070839137566696,-0.16018071259205025,0.0475754797606911,0.024811953420745048,-0.07531003932817315,0.08010191619620655,-0.012599762761730027,0.05154678833085058,0.06622682963721427,0.06283200715963588,-0.32631893377585053,-0.06101117897013053,-0.15318181624878313,0.018574142914555503,-0.028718393965695088,0.01976410284321739,-0.10342829048042512,0.025517104797249224,0.006256953783079111,-0.06492416198595585,-0.07997104884830575,-0.1938882031884258,0.08179270259402782,-0.3929728504320741,0.12540419249263102,0.06064725041328345,0.1495335659460555,-0.2270856865748926,-0.06210236715866302,-0.16036368079576935,-0.23155297063699248,-0.17114079462006537,-0.18916805054338992,-0.23813078117470793,0.0632635719980652,-0.13261547738780677,-0.3672697779912253,-0.13823247496750535,-0.19222732868891235
hand,0.05393755061016303,-0.1516937292038817,-0.025707396565981422,-0.027766585691031076,-0.22524285478970874,-0.061950130436569606,0.027587616796958758,0.0,-0.09495254079999516,-0.2549869839838368,0.1404377647803503,0.12498323569548764,-0.010063434438393748,0.04504911390102939,-0.09873622367291612,0.10555826318018569,0.021236246670152115,0.059456922958098235,0.07146811269266895,0.047887020248170487,0.1464883101702874,0.05696606880234256,0.14059621550488233,0.1479940735372285,0.16149098948793073,0.10986864286624232,0.175775394774897,0.08719887232005197,0.09756704191885957,0.13536243745109544,0.07144195561403754,-0.08423617218247825,0.047905559889615534,0.0005432195576980936,0.03951569534928212,0.0048879934911827405,0.13893143774593986,0.08140330546288521,0.15436361400504917,0.13879033343367875,0.035586209656212175,0.09979334566391451,-0.02744047877712963,0.20169696148585214,-0.23204882952950956,0.1974131345308594,0.14789475032099286,0.1580527589232864,-0.07833341486446,0.06533526158336811,-0.08775036099788602,-0.18189231257611116,-0.08106539525276202,-0.1418229435435996,-0.17562424451241476,0.19546390763358024,0.055382434751485965,-0.2752766011357375,-0.02293363750786448,0.00044375377925898185
foot,-0.029505316078639376,0.013700154034280154,0.02909457298208995,-0.047689475286152416,-0.05634805595123615,0.043306491699172,-0.18279856930951188,-0.09495254079999516,0.0,-0.05544467448735202,0.10632040002631915,0.17598339698154675,0.06821926544542045,0.04005725758711254,-0.06984160979038134,-0.09107073178992786,0.07182537482301632,0.19733487123306293,0.017539858533374808,0.07530412833575972,0.14510023015924545,0.14913530545053455,0.10584370636700746,0.08191785167388776,0.11567895243932524,0.00084582322457738,0.12428280277227555,-0.05265928071172454,0.1126601076167576,0.10522108131606367,0.1747476060870361,-0.11148181942586421,0.06964142407306706,0.036221929301467726,0.14809712916383377,-0.06718075287833236,-0.019456347377043826,0.0005046653173594873,0.019425687525302493,-0.0061741405236207525,-0.01419039873844663,0.005591757016286669,0.07674110166934012,0.12668794742926037,-0.24916595663021324,0.0878858688142854,0.05519374923057596,0.013717598798462793,-0.1114671650253285,-0.0627353553302149,0.007896092038342517,-0.01929957807665994,0.004267048120243477,-0.02927643707003924,-0.0063287099084505805,-0.005662554176910084,-0.014360700506752089,-0.16305593838021692,0.048366647432205534,0.049742975639360365
eye,-0.2451783305742603,-0.19877960530975514,-0.19113621925276325,-0.3342923031107656,-0.14911634250464478,0.005443759832119421,-0.30068200497145625,-0.2549869839838368,-0.05544467448735202,0.0,0.02155708211815144,0.21692194503221773,-0.12907369875164476,-0.05796443978461474,-0.1483221376387266,-0.1654553545179176,0.15900413885111309,0.020519817231391735,-0.045080743160551995,-0.01002820601938792,-0.08748294364485565,0.04368003814735344,-0.0015113151571547467,-0.20297719876280573,-0.044390473650485984,-0.0551251826697543,0.0168948180084334,-0.15422898993599665,0.031054842700498964,0.05438746668166572,0.15684537253985553,-0.12329933446737162,-0.07038296556257129,-0.024342018699067824,0.0672643837074195,-0.12553196016275014,-0.13829245558082726,-0.13902437038575344,-0.1401627498795548,-0.23197787666419678,-0.18713531159589591,-0.2562146231598992,0.1364638451313045,-0.1374237589937759,-0.36044524941354267,-0.09304955079576827,-0.1578610729553266,-0.17095115769807656,-0.008281085585091774,-0.2724099709617365,-0.22304402762940284,-0.3085156459188807,-0.28672256009714964,-0.39111452498813326,-0.22394134647814368,-0.15688546995966024,-0.255110592022386,-0.1552704500314791,-0.042205938085015604,-0.031599921786004015
