,term,horse,bear,cat,dog,cow,leg,arm,hand,foot,eye,apartment,igloo,barn,house,church,door,closet,chimney,window,arch,shirt,pants,skirt,coat,dress,chair,dresser,bed,table,desk,ant,butterfly,fly,bee,beetle,knife,bottle,glass,spoon,cup,telephone,key,watch,refrigerator,bell,screwdriver,chisel,pliers,saw,hammer,tomato,celery,corn,carrot,lettuce,bicycle,car,train,truck,airplane
0,horse,1.0,0.867668167,0.794402299,0.817714965,0.762251567,0.655146999,0.560490264,0.798084593,0.773817533,0.81131185,0.698720549,0.661859458,0.711925041,0.635954295,0.632664013,0.664958897,0.715602655,0.758883286,0.762504407,0.610092687,0.87857614,0.777597659,0.822725442,0.889298708,0.830805115,0.768305572,0.788659182,0.725328151,0.726812679,0.684068891,0.691065309,0.738073095,0.870236862,0.902443335,0.857444971,0.587953209,0.695384921,0.669068322,0.689416382,0.631058456,0.907902671,0.69733998,0.756502467,0.74520998,0.761587012,0.52571563,0.83790441,0.662071956,0.63814647,0.556451057,0.679340702,0.517919485,0.809874359,0.586456577,0.814620151,0.886596518,0.591752286,0.698552799,0.770611775,0.830323243
1,bear,0.867668167,1.0,0.784209175,0.856423722,0.842840782,0.576497394,0.529558344,0.703956374,0.695967751,0.797958823,0.762514217,0.688276774,0.737495482,0.703997457,0.686622185,0.697947834,0.687266342,0.759290981,0.718538359,0.671839762,0.834255561,0.736485275,0.790998479,0.816333531,0.784708602,0.672516469,0.722362283,0.751570919,0.676546436,0.627647409,0.777583321,0.782225628,0.85273199,0.890532568,0.866393818,0.61682992,0.644272957,0.609778631,0.703102657,0.672260881,0.809120834,0.70317235,0.698777379,0.726669728,0.770673063,0.512598278,0.714995497,0.683640345,0.679344209,0.545172179,0.678013455,0.514907963,0.710624974,0.626575488,0.799161252,0.849823121,0.696179246,0.748990948,0.761983079,0.828290269
2,cat,0.794402299,0.784209175,1.0,0.801167722,0.706735036,0.798448876,0.518258497,0.803877887,0.672096343,0.739000656,0.59665849,0.670116424,0.622361099,0.529146829,0.56870617,0.707444607,0.673670486,0.688215842,0.66620342,0.491564739,0.813089036,0.794515507,0.769078181,0.796006332,0.832870582,0.747876261,0.595316435,0.598145815,0.579006288,0.501265189,0.754469333,0.704328593,0.799885371,0.87522165,0.785367315,0.514734552,0.758616479,0.716929962,0.557828335,0.557586813,0.770225174,0.850676518,0.678881211,0.698858806,0.752112397,0.416282035,0.777329591,0.5635721,0.53848459,0.43306044,0.571532067,0.317848985,0.771336377,0.417672912,0.768427994,0.835673968,0.5133251,0.669760908,0.608832367,0.677270354
3,dog,0.817714965,0.856423722,0.801167722,1.0,0.869596418,0.669203422,0.587156633,0.763388809,0.744821633,0.761645304,0.621619848,0.640349366,0.619352534,0.588550497,0.601964542,0.654742527,0.612249111,0.69851758,0.622478394,0.50595727,0.840423267,0.776589514,0.799265025,0.839576263,0.818859773,0.667373596,0.61683786,0.701655299,0.631825926,0.530369266,0.800460746,0.77624432,0.828590811,0.878087641,0.859937873,0.576218965,0.664465763,0.602703225,0.682571451,0.67832604,0.80733318,0.734032478,0.727093505,0.658272863,0.704023599,0.52443884,0.718991699,0.703940326,0.648948352,0.577170852,0.644052945,0.475084007,0.698745793,0.537471963,0.784360165,0.831093705,0.610807439,0.618325171,0.649231064,0.724007169
4,cow,0.762251567,0.842840782,0.706735036,0.869596418,1.0,0.564516596,0.602312964,0.636054565,0.691362106,0.764978085,0.608525175,0.679977296,0.65124144,0.651020505,0.621610938,0.614215176,0.605649559,0.717023244,0.579022174,0.506031606,0.777311805,0.731372295,0.749963233,0.80839529,0.754663892,0.600178921,0.617453614,0.736044882,0.659164432,0.567477179,0.834808854,0.729092372,0.807929669,0.826074555,0.809364225,0.615566636,0.583203593,0.465572969,0.697471345,0.642021434,0.764701019,0.635849452,0.74667618,0.641890864,0.705145177,0.564324906,0.638073472,0.724201669,0.691530499,0.636218439,0.561506972,0.54459321,0.655787615,0.623611373,0.740061749,0.792542508,0.700272169,0.650916322,0.690288867,0.769298395
5,leg,0.655146999,0.576497394,0.798448876,0.669203422,0.564516596,1.0,0.589304164,0.745914525,0.706871285,0.678523058,0.445906889,0.570472405,0.470127319,0.356239654,0.481074589,0.660155991,0.643443005,0.673673651,0.610803185,0.395334926,0.67878046,0.805345457,0.688186979,0.746118895,0.77805202,0.726622306,0.481023285,0.547282305,0.60754954,0.484900992,0.636324321,0.501622045,0.631929108,0.736508448,0.64323606,0.544385492,0.768682912,0.628758709,0.555058866,0.523357235,0.724612158,0.761812561,0.739074249,0.618369057,0.596411079,0.562186558,0.789969394,0.587291978,0.543095214,0.52444833,0.324236392,0.241526983,0.740154128,0.298281005,0.635135794,0.779628742,0.405804524,0.58669985,0.483917287,0.521595677
6,arm,0.560490264,0.529558344,0.518258497,0.587156633,0.602312964,0.589304164,1.0,0.68308005,0.846283942,0.614393159,0.231246861,0.403760188,0.356480286,0.172804588,0.309655281,0.389011118,0.464889005,0.5137902,0.376803496,0.280516497,0.494432621,0.596717642,0.486777218,0.645293442,0.627562314,0.494652372,0.45272794,0.465465233,0.646708311,0.43256107,0.635829456,0.300019552,0.632948023,0.567509768,0.531996479,0.702187441,0.5398708,0.303552213,0.722343624,0.439673367,0.574842441,0.451964887,0.644681236,0.334179658,0.459059627,0.744482385,0.62491266,0.602501829,0.712552179,0.717967097,0.211426134,0.550445837,0.497992587,0.652083384,0.436008376,0.698629707,0.389628322,0.465599346,0.566975066,0.611928076
7,hand,0.798084593,0.703956374,0.803877887,0.763388809,0.636054565,0.745914525,0.68308005,1.0,0.840090532,0.756584496,0.482260336,0.536715676,0.513918338,0.388721049,0.449913405,0.605931004,0.615072782,0.589216832,0.623167453,0.423683991,0.778000088,0.75030798,0.759454866,0.794848919,0.82030291,0.716268596,0.643745776,0.535472729,0.617186281,0.496074686,0.691927354,0.634289543,0.802938678,0.819981077,0.761996747,0.568099363,0.715812151,0.672057604,0.649859694,0.57013138,0.772524922,0.772869239,0.672264005,0.556852719,0.664241045,0.526077227,0.791891803,0.586857317,0.576657255,0.522665758,0.52893195,0.426071351,0.744325663,0.466840508,0.73956889,0.83847909,0.416597502,0.552606854,0.609399545,0.669398056
8,foot,0.773817533,0.695967751,0.672096343,0.744821633,0.691362106,0.706871285,0.846283942,0.840090532,1.0,0.762380196,0.448295979,0.530903722,0.526571536,0.360436618,0.464908067,0.573216045,0.621563044,0.669381427,0.589509253,0.435039836,0.72783773,0.754077865,0.678832013,0.811017044,0.787592796,0.686106034,0.639404017,0.619547935,0.754221143,0.557413509,0.659345614,0.525790679,0.762990254,0.758505529,0.725092531,0.705812614,0.69414416,0.564442641,0.789201983,0.596660423,0.773985948,0.624107821,0.781115376,0.545527845,0.624405183,0.747238722,0.802793713,0.710187741,0.746569309,0.717578733,0.449387823,0.578856935,0.69529037,0.649962306,0.644539071,0.824974735,0.479248114,0.553614349,0.694301539,0.709507446
9,eye,0.81131185,0.797958823,0.739000656,0.761645304,0.764978085,0.678523058,0.614393159,0.756584496,0.762380196,1.0,0.744343448,0.85097392,0.772128085,0.74025871,0.764176655,0.789955439,0.838725235,0.843607785,0.808566088,0.680787129,0.833418748,0.81443059,0.795284562,0.859837076,0.814319392,0.833236722,0.831033567,0.805235874,0.835152653,0.805243985,0.711491698,0.732496193,0.783215905,0.858016698,0.811721813,0.658340823,0.793957896,0.694383291,0.734834058,0.68614208,0.825828749,0.744001993,0.852831065,0.785489591,0.811913798,0.591919968,0.805592297,0.703877414,0.728794228,0.650635655,0.518578957,0.535729906,0.842576585,0.609925506,0.822865471,0.888570637,0.742480018,0.82324932,0.822878599,0.826607947
