term,airplane,ant,apartment,arch,arm,barn,bear,bed,bee,beetle,bell,bicycle,bottle,butterfly,car,carrot,cat,celery,chair,chimney,chisel,church,closet,coat,corn,cow,cup,desk,dog,door,dress,dresser,eye,fly,foot,glass,hammer,hand,horse,house,igloo,key,knife,leg,lettuce,pants,pliers,refrigerator,saw,screwdriver,shirt,skirt,spoon,table,telephone,tomato,train,truck,watch,window
airplane,1,0.464731961,0.612681482,0.665298747,0.679467155,0.497372135,0.519601437,0.376595318,0.716880765,0.605643126,0.552319253,0.589892175,0.427245579,0.512043956,0.702251602,0.422350406,0.170153019,0.649215609,0.458557575,0.632196583,0.452648045,0.487063245,0.541172695,0.467967533,0.272366546,0.568817063,0.436571258,0.553985315,0.419255446,0.494591387,0.631657958,0.504701698,0.385794797,0.630125146,0.462171827,0.59827492,0.474224107,0.69693908,0.631308443,0.493437587,0.412966453,0.26174179,0.357496641,0.354155026,0.617200084,0.102604885,0.409430938,0.640870393,0.349452657,0.408317979,0.490168674,0.511146489,0.204705213,0.482134636,0.711007628,0.633057357,0.57720434,0.726789658,0.517985902,0.589145784
ant,0.464731961,1,0.666783627,0.569180209,0.310524866,0.456786005,0.77073587,0.646260904,0.490097007,0.749733292,0.662178369,0.646479578,0.528205702,0.532170953,0.502833717,0.600254892,0.521852061,0.627482579,0.515214992,0.629339613,0.58314613,0.646549271,0.472032067,0.690748046,0.621738591,0.695950499,0.597709787,0.63188152,0.719383446,0.565447282,0.542187525,0.482700392,0.669407982,0.573103673,0.426611322,0.314200382,0.758773109,0.447902207,0.327294106,0.632486782,0.245066016,0.589001848,0.622729182,0.487200143,0.563915207,0.354072376,0.765032992,0.652357042,0.727139736,0.652941321,0.695081196,0.146942164,0.610596873,0.678299746,0.627686699,0.357605386,0.677258887,0.621996145,0.663720833,0.604813737
apartment,0.612681482,0.666783627,1,0.762909087,0.502544139,0.786956924,0.760054985,0.774423961,0.734213328,0.652499094,0.743971009,0.723791835,0.577829032,0.736172402,0.690840696,0.553607594,0.440693512,0.566604022,0.56887378,0.721534981,0.593606384,0.751889266,0.681414469,0.641364411,0.666496078,0.71874646,0.582484441,0.80692153,0.623725579,0.709885998,0.57195987,0.652261945,0.637971128,0.666506464,0.376650014,0.430079825,0.683119885,0.540901898,0.560303426,0.82846048,0.492575646,0.512979487,0.649265543,0.516754444,0.715521272,0.228297384,0.647275461,0.799986271,0.659960496,0.608499926,0.694699544,0.278438455,0.425229731,0.779089132,0.779064138,0.662973299,0.79752669,0.763883434,0.710732186,0.829837775
arch,0.665298747,0.569180209,0.762909087,1,0.589541142,0.700657572,0.669565103,0.595559769,0.66071487,0.674913214,0.675453209,0.790130334,0.5049915,0.608929335,0.63587757,0.529886874,0.263004829,0.683921555,0.572123326,0.754672737,0.650316223,0.623317188,0.553729537,0.644058415,0.565588392,0.651593335,0.639964717,0.800119313,0.509964605,0.619773777,0.659845947,0.782221357,0.602346305,0.746991557,0.603230008,0.543057263,0.640750595,0.624183122,0.59451945,0.752541711,0.387366113,0.365005189,0.472260085,0.4638453,0.753717609,0.344864981,0.579382494,0.804826451,0.642322671,0.701969236,0.666286736,0.426177636,0.509795192,0.730102804,0.828034802,0.505426707,0.779097976,0.823145405,0.665509844,0.764770323
arm,0.679467155,0.310524866,0.502544139,0.589541142,1,0.37655298,0.367960643,0.22904194,0.750136648,0.583860568,0.508445357,0.553229843,0.51569659,0.461164102,0.689765093,0.47969944,0.198257341,0.638137672,0.408613798,0.61324343,0.562023216,0.349337463,0.523923596,0.484041343,0.140004063,0.613938258,0.403618817,0.387201043,0.368083522,0.471024978,0.658881558,0.574777323,0.329553988,0.663667817,0.586503116,0.720758238,0.478545116,0.801429028,0.756409913,0.430982834,0.489723969,0.382646102,0.417733141,0.544678477,0.586685304,0.35712673,0.427492466,0.498345589,0.279843784,0.468274001,0.561949496,0.769229024,0.311757467,0.29787787,0.655217314,0.64683531,0.494781635,0.647843566,0.45830211,0.513210664
barn,0.497372135,0.456786005,0.786956924,0.700657572,0.37655298,1,0.657192066,0.683319182,0.635573753,0.469114237,0.581667906,0.57993766,0.442816699,0.726817633,0.565279667,0.385189462,0.321375479,0.358793849,0.508191959,0.60070808,0.492124876,0.645725896,0.557458339,0.51867447,0.671632794,0.487252937,0.528531232,0.783836789,0.470009951,0.63711179,0.453078622,0.584719675,0.539018316,0.519488493,0.290632367,0.347505349,0.478042797,0.362903232,0.523642314,0.761321309,0.545496213,0.37542482,0.480486225,0.377223149,0.610139624,0.171250965,0.467018839,0.712353613,0.505326015,0.500460291,0.547722128,0.239366085,0.283985513,0.751634419,0.693829463,0.599148771,0.67204396,0.693451858,0.572587603,0.765146406
bear,0.519601437,0.77073587,0.760054985,0.669565103,0.367960643,0.657192066,1,0.753475981,0.584549538,0.750541678,0.660637536,0.694600583,0.555047235,0.580602971,0.570560717,0.556046296,0.409742818,0.571341833,0.52240099,0.601689399,0.602376244,0.672677279,0.409475861,0.621440036,0.653132266,0.693926132,0.635239851,0.769480002,0.765312711,0.57607134,0.489959629,0.519498522,0.614615074,0.571008578,0.445542915,0.330129412,0.73621029,0.421632079,0.375254623,0.74553369,0.270005418,0.526100438,0.652037153,0.402502348,0.630858626,0.195582691,0.761651039,0.743684668,0.762331895,0.67213882,0.66565071,0.173839067,0.558783033,0.811812688,0.738591355,0.500641807,0.709949011,0.662191879,0.635642236,0.667585251
bed,0.376595318,0.646260904,0.774423961,0.595559769,0.22904194,0.683319182,0.753475981,1,0.506840573,0.599297207,0.639799566,0.584104325,0.538404605,0.587999269,0.428787405,0.375183442,0.354731211,0.404315531,0.538597138,0.59857382,0.47632481,0.732153077,0.519353822,0.503470537,0.775624453,0.569628445,0.518219068,0.754484656,0.597379823,0.62434065,0.410936551,0.464124375,0.561188693,0.488131106,0.332542917,0.244070564,0.618224561,0.301681599,0.250122829,0.793491201,0.267555959,0.542723394,0.543484284,0.423164347,0.570411409,0.178414709,0.645230391,0.715822389,0.712257539,0.50369428,0.578449014,-0.006847408,0.435705239,0.750085328,0.630766719,0.436673116,0.675649796,0.620747455,0.660211866,0.698160655
bee,0.716880765,0.490097007,0.734213328,0.66071487,0.750136648,0.635573753,0.584549538,0.506840573,1,0.677363545,0.68471659,0.626060429,0.581982562,0.7066485,0.762312245,0.489243546,0.382643058,0.590610243,0.528302444,0.707186403,0.631236241,0.638748145,0.735414923,0.581403988,0.436744052,0.747612113,0.444766485,0.609019606,0.535806667,0.719261879,0.716297633,0.614761725,0.421562435,0.729029835,0.423154315,0.661509184,0.605854322,0.776115549,0.781506499,0.653561773,0.606163567,0.524776409,0.59201613,0.625161179,0.723998165,0.320862723,0.568625698,0.711135759,0.39845275,0.485405793,0.643884303,0.607200847,0.270463412,0.535042468,0.783993486,0.768980686,0.662655803,0.757248032,0.634600244,0.74186508
beetle,0.605643126,0.749733292,0.652499094,0.674913214,0.583860568,0.469114237,0.750541678,0.599297207,0.677363545,1,0.712302179,0.736377488,0.658946276,0.522931887,0.657922871,0.572817299,0.407617018,0.776630957,0.545542512,0.694009514,0.735475513,0.605628671,0.545655405,0.723540855,0.535061492,0.797909046,0.590508135,0.636138483,0.740857837,0.62287105,0.706250201,0.605225668,0.60021832,0.727759617,0.600644534,0.595877185,0.762715924,0.705693223,0.524501029,0.673744825,0.346599426,0.682999352,0.651506877,0.560886394,0.769853451,0.365961414,0.796890509,0.727532418,0.642356162,0.697704211,0.78544695,0.472015066,0.565919861,0.673796123,0.82101035,0.535039528,0.735366319,0.736128929,0.666492831,0.645860891
