,Decoding Accuracy
0,0.4768361581920904
1,0.4672316384180791
2,0.4830508474576271
3,0.6073446327683616
4,0.5474576271186441
5,0.4850282485875706
6,0.48418079096045197
7,0.6115819209039548
8,0.44180790960451977
9,0.5703389830508474
10,0.488135593220339
11,0.5567796610169492
12,0.4692090395480226
13,0.44152542372881354
14,0.5186440677966102
15,0.5220338983050847
16,0.48898305084745763
17,0.5324858757062146
18,0.43813559322033896
19,0.44745762711864406
20,0.47429378531073446
21,0.44943502824858755
22,0.5463276836158192
23,0.43107344632768363
24,0.5429378531073447
25,0.5725988700564971
26,0.561864406779661
27,0.5050847457627119
28,0.4576271186440678
29,0.5129943502824859
30,0.46440677966101696
31,0.5087570621468926
32,0.4327683615819209
33,0.5149717514124293
34,0.4788135593220339
35,0.5463276836158192
36,0.45254237288135596
37,0.5121468926553673
38,0.5268361581920904
39,0.47711864406779664
40,0.48333333333333334
41,0.48954802259887004
42,0.4612994350282486
43,0.538135593220339
44,0.4751412429378531
45,0.5062146892655367
46,0.46016949152542375
47,0.48700564971751414
48,0.4906779661016949
49,0.5059322033898305
50,0.47627118644067795
51,0.4090395480225989
52,0.43248587570621466
53,0.5098870056497176
54,0.4666666666666667
55,0.45932203389830506
56,0.47401129943502823
57,0.48135593220338985
58,0.5276836158192091
59,0.5545197740112995
60,0.4491525423728814
61,0.5774011299435028
62,0.5225988700564972
63,0.43248587570621466
64,0.4180790960451977
65,0.5906779661016949
66,0.5403954802259887
67,0.5220338983050847
68,0.5084745762711864
69,0.5748587570621468
70,0.5299435028248588
71,0.501412429378531
72,0.4940677966101695
73,0.5401129943502825
74,0.4268361581920904
75,0.4401129943502825
76,0.5528248587570621
77,0.48983050847457626
78,0.5454802259887006
79,0.5525423728813559
80,0.5401129943502825
81,0.502542372881356
82,0.42203389830508475
83,0.4067796610169492
84,0.5689265536723164
85,0.46779661016949153
86,0.5644067796610169
87,0.4661016949152542
88,0.4491525423728814
89,0.4901129943502825
90,0.511864406779661
91,0.5629943502824859
92,0.5022598870056497
93,0.5104519774011299
94,0.45310734463276836
95,0.5220338983050847
96,0.4765536723163842
97,0.5093220338983051
98,0.4810734463276836
99,0.5257062146892655
100,0.5782485875706215
101,0.45254237288135596
102,0.4793785310734463
103,0.5980225988700565
104,0.5110169491525424
105,0.5242937853107345
106,0.49745762711864405
107,0.4901129943502825
108,0.534180790960452
109,0.5474576271186441
110,0.46016949152542375
111,0.49180790960451976
112,0.457909604519774
113,0.4878531073446328
114,0.5316384180790961
115,0.6155367231638418
116,0.5186440677966102
117,0.46807909604519776
118,0.5090395480225989
119,0.4748587570621469
120,0.4807909604519774
121,0.4350282485875706
122,0.5129943502824859
123,0.46299435028248587
124,0.5
125,0.4655367231638418
126,0.5302259887005649
127,0.557909604519774
128,0.43898305084745765
129,0.5370056497175141
130,0.5516949152542373
131,0.3946327683615819
132,0.5505649717514124
133,0.47909604519774013
134,0.5344632768361582
135,0.49322033898305084
136,0.4977401129943503
137,0.5584745762711865
138,0.4703389830508475
139,0.5240112994350282
140,0.5192090395480226
141,0.4703389830508475
142,0.4943502824858757
143,0.4440677966101695
144,0.5064971751412429
145,0.5525423728813559
146,0.47429378531073446
147,0.518361581920904
148,0.48983050847457626
149,0.5491525423728814
150,0.4864406779661017
151,0.47062146892655365
152,0.4327683615819209
153,0.503954802259887
154,0.5302259887005649
155,0.47570621468926555
156,0.5576271186440678
157,0.5350282485875706
158,0.5449152542372881
159,0.6076271186440678
160,0.49971751412429377
161,0.37824858757062146
162,0.4516949152542373
163,0.47768361581920904
164,0.5251412429378531
165,0.5104519774011299
166,0.4635593220338983
167,0.4929378531073446
168,0.4807909604519774
169,0.4423728813559322
170,0.5406779661016949
171,0.514406779661017
172,0.4725988700564972
173,0.42966101694915254
174,0.4406779661016949
175,0.5429378531073447
176,0.4788135593220339
177,0.5514124293785311
178,0.5488700564971751
179,0.5203389830508475
180,0.4793785310734463
181,0.5742937853107345
182,0.48135593220338985
183,0.5451977401129944
184,0.5358757062146893
185,0.5146892655367231
186,0.5296610169491526
187,0.5765536723163842
188,0.5759887005649718
189,0.5302259887005649
190,0.4909604519774011
191,0.5169491525423728
192,0.5632768361581921
193,0.39661016949152544
194,0.5330508474576271
195,0.4364406779661017
196,0.44180790960451977
197,0.4638418079096045
198,0.48418079096045197
199,0.5392655367231638
200,0.45282485875706213
201,0.40451977401129946
202,0.5036723163841808
203,0.496045197740113
204,0.5135593220338983
205,0.5112994350282486
206,0.46073446327683615
207,0.5485875706214689
208,0.5463276836158192
209,0.5288135593220339
210,0.5423728813559322
211,0.5166666666666667
212,0.5096045197740113
213,0.4966101694915254
214,0.46864406779661016
215,0.557909604519774
216,0.5581920903954802
217,0.43615819209039547
218,0.5822033898305085
219,0.4858757062146893
220,0.5251412429378531
221,0.45875706214689266
222,0.5203389830508475
223,0.3903954802259887
224,0.5254237288135594
225,0.5112994350282486
226,0.5497175141242938
227,0.5135593220338983
228,0.49971751412429377
229,0.501412429378531
230,0.4480225988700565
231,0.5062146892655367
232,0.4435028248587571
233,0.48333333333333334
234,0.5104519774011299
235,0.47401129943502823
236,0.48926553672316386
237,0.5844632768361582
238,0.5217514124293785
239,0.5028248587570622
240,0.514406779661017
241,0.607909604519774
242,0.4638418079096045
243,0.5149717514124293
244,0.4847457627118644
245,0.4966101694915254
246,0.4443502824858757
247,0.45028248587570624
248,0.48983050847457626
249,0.559322033898305
250,0.4824858757062147
251,0.5344632768361582
252,0.5087570621468926
253,0.46214689265536724
254,0.5175141242937853
255,0.5262711864406779
256,0.5398305084745763
257,0.4268361581920904
258,0.5141242937853108
259,0.488135593220339
260,0.45451977401129945
261,0.5813559322033899
262,0.4454802259887006
263,0.48926553672316386
264,0.5214689265536723
265,0.5415254237288135
266,0.5615819209039548
267,0.5531073446327683
268,0.3954802259887006
269,0.580225988700565
270,0.46073446327683615
271,0.47062146892655365
272,0.4457627118644068
273,0.5016949152542373
274,0.43389830508474575
275,0.5477401129943503
276,0.5248587570621469
277,0.5141242937853108
278,0.4652542372881356
279,0.4440677966101695
280,0.5011299435028248
281,0.4562146892655367
282,0.43389830508474575
283,0.5728813559322034
284,0.4559322033898305
285,0.5048022598870057
286,0.4615819209039548
287,0.5268361581920904
288,0.434180790960452
289,0.5313559322033898
290,0.481638418079096
291,0.48559322033898306
292,0.4751412429378531
293,0.4957627118644068
294,0.4576271186440678
295,0.4604519774011299
296,0.5254237288135594
297,0.5093220338983051
298,0.4878531073446328
299,0.48389830508474574
300,0.535593220338983
301,0.47005649717514125
302,0.4963276836158192
303,0.4703389830508475
304,0.5330508474576271
305,0.5016949152542373
306,0.5245762711864407
307,0.46807909604519776
308,0.5104519774011299
309,0.4853107344632768
310,0.47966101694915253
311,0.5053672316384181
312,0.501412429378531
313,0.5330508474576271
314,0.5429378531073447
315,0.45028248587570624
316,0.5163841807909605
317,0.501412429378531
318,0.46864406779661016
319,0.4768361581920904
320,0.48050847457627116
321,0.49124293785310735
322,0.4615819209039548
323,0.5135593220338983
324,0.4598870056497175
325,0.4480225988700565
326,0.48135593220338985
327,0.4901129943502825
328,0.5042372881355932
329,0.5146892655367231
330,0.5093220338983051
331,0.4590395480225989
332,0.5254237288135594
333,0.49548022598870056
334,0.5310734463276836
335,0.45932203389830506
336,0.4793785310734463
337,0.5177966101694915
338,0.4596045197740113
339,0.5104519774011299
340,0.47768361581920904
341,0.46779661016949153
342,0.5206214689265537
343,0.5076271186440678
344,0.48389830508474574
345,0.43050847457627117
346,0.546045197740113
347,0.4669491525423729
348,0.4327683615819209
349,0.5799435028248587
350,0.5734463276836158
351,0.4793785310734463
352,0.47796610169491527
353,0.5443502824858757
354,0.5511299435028248
355,0.49350282485875707
356,0.5375706214689265
357,0.5745762711864407
358,0.46016949152542375
359,0.41836158192090395
360,0.4519774011299435
361,0.5146892655367231
362,0.5612994350282486
363,0.523728813559322
364,0.5590395480225989
365,0.5740112994350283
366,0.4994350282485876
367,0.4497175141242938
368,0.46299435028248587
369,0.47966101694915253
370,0.5528248587570621
371,0.5093220338983051
372,0.461864406779661
373,0.4556497175141243
374,0.4909604519774011
375,0.5112994350282486
376,0.511864406779661
377,0.5858757062146893
378,0.5220338983050847
379,0.44096045197740114
380,0.5333333333333333
381,0.44943502824858755
382,0.5437853107344632
383,0.5240112994350282
384,0.4454802259887006
385,0.5432203389830509
386,0.47711864406779664
387,0.49519774011299433
388,0.5276836158192091
389,0.4709039548022599
390,0.48983050847457626
391,0.4443502824858757
392,0.5759887005649718
393,0.5045197740112994
394,0.4985875706214689
395,0.4847457627118644
396,0.5474576271186441
397,0.4062146892655367
398,0.46271186440677964
399,0.502542372881356
400,0.501412429378531
401,0.5005649717514125
402,0.553954802259887
