term,horse,bear,cat,dog,cow,leg,arm,hand,foot,eye,apartment,igloo,barn,house,church,door,closet,chimney,window,arch,shirt,pants,skirt,coat,dress,chair,dresser,bed,table,desk,ant,butterfly,fly,bee,beetle,knife,bottle,glass,spoon,cup,telephone,key,watch,refrigerator,bell,screwdriver,chisel,pliers,saw,hammer,tomato,celery,corn,carrot,lettuce,bicycle,car,train,truck,airplane
horse,1,0.164735105,0.381049358,0.482133731,0.493441787,0.242102161,0.102333594,0.091643764,0.175108144,0.11175588,0.055921899,0.083550521,0.517749542,0.146955638,0.08021436,0.106646544,0.072663433,0.122137065,0.042483987,0.055368832,0.093647769,0.158845609,0.143662417,0.188694918,0.132972513,0.111436345,0.182510952,0.173100714,0.097954217,0.100492855,0.16979742,0.143199142,0.037608548,0.182889225,0.138244878,0.106838304,0.12899367,0.08009163,0.178277652,0.088718644,0.023283005,-0.01985302,0.061440411,0.079749348,0.158342851,0.110472751,0.101568073,0.055643369,0.082474782,0.109887932,0.226784614,0.15400164,0.174237744,0.160157578,0.159460134,0.30027877,0.248153753,0.248655988,0.224777972,0.160134759
bear,0.164735105,1,0.383173484,0.366215051,0.269661592,0.107935483,0.156711982,0.091159998,0.084816044,0.185349915,0.133171983,0.117876907,0.066384381,0.194590079,0.093981119,0.160032332,0.14048669,0.093692774,0.060388185,0.043403315,0.082116504,0.070215048,0.100037652,0.161453486,0.077458107,0.07916229,0.054228252,0.080964,0.037111752,0.093136791,0.2128619,0.177085322,0.123285203,0.239910686,0.261223296,0.114738252,0.124908516,0.016685068,0.060555233,0.00042818,0.036480818,-0.012953936,0.072569467,0.084304844,0.145625881,0.047607578,0.05231119,0.032407076,0.115004979,0.14214426,0.149259293,0.064263551,0.139069031,0.095394154,0.090580698,0.096628247,0.145245601,0.068422522,0.197092603,0.102597987
cat,0.381049358,0.383173484,1,0.760761088,0.403292566,0.142719479,0.088256526,0.107240831,0.119641805,0.172177911,0.256479612,0.146183457,0.247351458,0.267144692,0.094876388,0.217655646,0.217141291,0.222610715,0.184593863,0.038611903,0.105752971,0.154601947,0.069235475,0.260780072,0.112088936,0.053009107,0.223843122,0.166135367,0.097042669,0.15982328,0.281972465,0.224751196,0.149884274,0.272793799,0.354741347,0.129113896,0.205671058,0.119978128,0.181791296,0.125458843,0.083724592,0.03492346,0.116141237,0.26131176,0.120587629,0.194842899,0.092489799,0.125643741,0.089338494,0.096884802,0.178240078,0.152938805,0.172634207,0.183505617,0.115192895,0.213789657,0.213810955,0.082759491,0.178641371,0.179447643
dog,0.482133731,0.366215051,0.760761088,1,0.401760523,0.214865561,0.11378101,0.113800335,0.164425964,0.131093892,0.235673697,0.142179387,0.275837246,0.255820455,0.111591142,0.203039704,0.162781238,0.16999961,0.136569798,0.016193117,0.174193681,0.221766957,0.076106604,0.288059542,0.152999386,0.090118607,0.185177832,0.208315433,0.087146631,0.121537167,0.233603668,0.161485934,0.084074955,0.207546599,0.243335736,0.241750165,0.23390628,0.101534934,0.264655473,0.177555386,0.05451434,-0.000227169,0.112521971,0.251229744,0.106729617,0.229176974,0.101466476,0.151040637,0.074009452,0.10756041,0.188049376,0.163593485,0.15696912,0.189240352,0.167265282,0.323427914,0.307535117,0.211601765,0.242758358,0.180288106
cow,0.493441787,0.269661592,0.403292566,0.401760523,1,0.130627491,0.143733702,0.113772868,0.071505961,0.104134162,0.08788894,0.139614862,0.397631168,0.164211516,0.113978418,0.096054517,0.029397103,0.116781669,0.097739824,0.0465683,0.070513025,0.12088653,0.104257136,0.131850939,0.11806229,0.087616377,0.093950809,0.076482847,0.092606305,0.073275883,0.255979136,0.163930798,0.046189821,0.2944342,0.248868814,0.11372665,0.147559112,0.081361216,0.140775544,0.129424899,-0.016271266,-0.011743428,0.018266859,0.137180922,0.220713586,0.13477267,0.149982647,0.039918329,0.060237104,0.107247179,0.25195,0.221787142,0.281277148,0.264278745,0.262541462,0.207021329,0.175012517,0.173757365,0.232240338,0.193148149
leg,0.242102161,0.107935483,0.142719479,0.214865561,0.130627491,1,0.550406072,0.333111989,0.405476255,0.262558512,0.121473261,0.055085349,0.110814545,0.091406147,0.030480752,0.153107801,0.054850329,0.133763713,0.206014053,0.263988585,0.247756352,0.252760055,0.123647794,0.181408279,0.092200973,0.134042572,0.122617662,0.190693159,0.098785614,0.060408926,0.074934665,0.15251428,0.180088591,0.110571146,0.097136641,0.236419334,0.133940409,0.150726414,0.254236245,0.256356781,0.043155984,0.046924412,0.073803438,0.083344314,0.10256292,0.246648989,0.138429224,0.203303347,0.19368074,0.160347099,0.102434838,0.06844356,0.078988641,0.105807878,0.095964592,0.252242665,0.162315616,0.150193257,0.119906147,0.091950491
arm,0.102333594,0.156711982,0.088256526,0.11378101,0.143733702,0.550406072,1,0.433052571,0.290941705,0.301105908,0.119302849,0.035962186,0.022140381,0.113629991,0.003921259,0.142838256,0.079613463,0.070983392,0.227048771,0.193772817,0.219173626,0.153387354,0.161791109,0.203904154,0.044370232,0.279904683,0.121014439,0.195979777,0.061255655,0.19229465,0.155016897,0.080706581,0.05249682,0.053966408,0.049464752,0.215073871,0.185366779,0.18507372,0.204278396,0.064802146,0.055474031,0.056626238,0.037689398,0.114963828,0.145126828,0.244585701,0.096501506,0.190966444,0.156353984,0.200423397,0.081173665,0.064985273,0.050188012,0.150226645,0.080827965,0.167954949,0.131417464,0.069741256,0.106748708,0.075575556
hand,0.091643764,0.091159998,0.107240831,0.113800335,0.113772868,0.333111989,0.433052571,1,0.227526366,0.360264833,0.062932841,0.00891916,0.058075904,0.107570618,0.071045815,0.276492015,0.074485298,0.095616725,0.218734797,0.120596636,0.192023924,0.151915673,0.084190296,0.131963654,0.063367414,0.165072742,0.171934191,0.119366089,0.317636461,0.238051372,0.06256367,0.077020726,0.070263958,0.053030195,0.011499255,0.244856471,0.252048103,0.24642246,0.274145847,0.140850291,0.00061886,0.152460917,0.099869634,0.087088831,0.0952428,0.231299258,0.219911017,0.227968966,0.119289881,0.308755129,0.038234748,0.033300495,0.050245087,0.159923338,0.035692573,0.154157193,0.07482885,0.105029353,0.045836414,0.100254681
foot,0.175108144,0.084816044,0.119641805,0.164425964,0.071505961,0.405476255,0.290941705,0.227526366,1,0.170922735,0.075561704,0.202718248,0.176555189,0.033986522,0.111790776,0.205942293,0.100781403,0.195657853,0.177575724,0.383547057,0.112524647,0.15101002,0.145249991,0.170766798,0.115766017,0.061392129,0.208886841,0.191705834,0.062931175,0.096140278,0.129192553,0.114664061,0.132769612,-0.010370332,0.111447523,0.156317921,0.125160567,0.228799359,0.192208476,0.130162214,0.045166836,0.065281199,0.100740132,0.12614817,0.069019624,0.171400118,0.189627615,0.185007351,0.09943495,0.114867162,0.091989714,0.091256244,0.115064461,0.109453947,0.113158491,0.230634592,0.078850828,0.127271552,0.120235368,0.084714452
eye,0.11175588,0.185349915,0.172177911,0.131093892,0.104134162,0.262558512,0.301105908,0.360264833,0.170922735,1,0.023434346,0.012574337,0.097952052,0.12812025,0.048132597,0.238782138,0.099875753,0.101723311,0.271859976,0.156811705,0.15234656,0.136374576,0.101300136,0.181123265,0.096777567,0.041341096,0.148138434,0.100328101,0.096744055,0.093772077,0.108851461,0.155628892,0.162123257,0.194811721,0.093874897,0.084224319,0.189506246,0.203158856,0.16851025,0.118631348,-0.022843765,0.120377822,0.307250943,0.11446115,0.07417926,0.085491319,0.08565485,0.153448343,0.188127164,0.159085741,0.077537408,0.039411949,0.049410698,0.080233945,0.080752795,0.032500687,0.009679351,0.019083372,-0.027907919,0.081360228
