term,horse,bear,cat,dog,cow,leg,arm,hand,foot,eye,apartment,igloo,barn,house,church,door,closet,chimney,window,arch,shirt,pants,skirt,coat,dress,chair,dresser,bed,table,desk,ant,butterfly,fly,bee,beetle,knife,bottle,glass,spoon,cup,telephone,key,watch,refrigerator,bell,screwdriver,chisel,pliers,saw,hammer,tomato,celery,corn,carrot,lettuce,bicycle,car,train,truck,airplane
horse,1,0.819394412,0.893226205,0.937484013,0.70755278,0.757401428,0.629718242,0.834095548,0.821667704,0.523409057,0.851048068,0.767139221,0.888460617,0.851406059,0.794887392,0.818796397,0.690324891,0.780172114,0.849660006,0.825837597,0.826569103,0.709911828,0.831825264,0.804438058,0.788945958,0.846819046,0.837526271,0.764440071,0.814614531,0.793967035,0.738443433,0.708344041,0.85046652,0.863596267,0.752279319,0.697417931,0.85272883,0.901289419,0.841087117,0.83142952,0.889698123,0.916651487,0.751893325,0.895893022,0.760450522,0.822452649,0.848318605,0.749379247,0.726889089,0.915831873,0.556997232,0.506105626,0.560109446,0.596955059,0.501764465,0.886856762,0.959184139,0.744662502,0.885306914,0.888849206
bear,0.819394412,1,0.764991214,0.782665323,0.475705152,0.679616728,0.388195858,0.612960442,0.748229935,0.524038731,0.732481006,0.701852841,0.830976433,0.729174802,0.76066475,0.670234732,0.611268677,0.688789566,0.727111368,0.653800219,0.620597075,0.613320716,0.786033341,0.598881479,0.649334971,0.635795057,0.629416465,0.662687997,0.677101451,0.61430186,0.563369964,0.662921301,0.781106588,0.804864753,0.655736322,0.529709198,0.630519977,0.682350031,0.607965575,0.607982479,0.731033154,0.718279379,0.715758694,0.733818968,0.732058061,0.598867585,0.806030466,0.52979943,0.626668562,0.788227119,0.458621972,0.442777179,0.501922455,0.523019233,0.458142134,0.655955167,0.823120172,0.755235885,0.842975074,0.882048501
cat,0.893226205,0.764991214,1,0.934615376,0.810347417,0.788701101,0.699447201,0.779191546,0.83832113,0.586679063,0.826558292,0.765305309,0.825778785,0.700033147,0.881703083,0.833685426,0.761862792,0.825265008,0.792241851,0.740466276,0.817731009,0.792530096,0.761896669,0.837135562,0.799132405,0.770270455,0.863236549,0.768223764,0.868224816,0.839121534,0.809864386,0.417821016,0.857385439,0.803874524,0.886204945,0.830193266,0.794876773,0.777480555,0.795074172,0.762537032,0.929217696,0.766986016,0.783323714,0.88393582,0.760262878,0.84206286,0.896530201,0.835149436,0.739224887,0.903864716,0.551040838,0.552043424,0.530198389,0.510925797,0.517623006,0.791746442,0.875885767,0.802826479,0.960983253,0.837336699
dog,0.937484013,0.782665323,0.934615376,1,0.755196089,0.736286528,0.662342478,0.801347219,0.818913619,0.443904731,0.832187685,0.690606801,0.883938808,0.746440464,0.837537844,0.768341534,0.648876873,0.815662291,0.745292106,0.728037895,0.77104355,0.680033457,0.741933833,0.800184534,0.751864056,0.752962473,0.804931375,0.766775009,0.777384999,0.760229091,0.684174604,0.548645375,0.842758054,0.794942513,0.771413203,0.691092967,0.765093843,0.793157341,0.779649391,0.752846685,0.905815725,0.846773482,0.698158868,0.925440709,0.757695522,0.805741068,0.854059896,0.755119546,0.669253312,0.902974603,0.609983175,0.598074529,0.632605376,0.643966851,0.548296631,0.816633953,0.943046173,0.745378529,0.885254864,0.846334039
cow,0.70755278,0.475705152,0.810347417,0.755196089,1,0.596359672,0.474524356,0.512071079,0.690288152,0.55454692,0.652134214,0.652579652,0.698141606,0.53124977,0.708421311,0.595925365,0.669901527,0.729839479,0.59074563,0.689528832,0.594143819,0.549026377,0.502489097,0.556075154,0.506377114,0.492470855,0.650591407,0.454864297,0.621812673,0.674333199,0.764532482,0.271475807,0.722615176,0.709778354,0.785729506,0.634175725,0.590497033,0.552615691,0.561436254,0.561009702,0.715564437,0.528251316,0.590392081,0.670387247,0.598896878,0.599366417,0.524906283,0.611954513,0.514082447,0.598448628,0.507143877,0.52639627,0.442658471,0.430205307,0.458938141,0.510014292,0.616286174,0.767229797,0.768264634,0.683131326
leg,0.757401428,0.679616728,0.788701101,0.736286528,0.596359672,1,0.743445082,0.796126282,0.959096488,0.80411088,0.865400621,0.903687106,0.776668534,0.806616625,0.668819411,0.707825317,0.809174897,0.846902918,0.833823479,0.869134059,0.890752365,0.887552518,0.812143355,0.851326144,0.859851984,0.854039434,0.892478136,0.886501422,0.904752315,0.86082495,0.839285612,0.645520141,0.834476357,0.672385257,0.860623079,0.753385641,0.756693854,0.809824626,0.792124991,0.790831177,0.724361204,0.811079375,0.859147801,0.8004038,0.520049665,0.853564543,0.795833603,0.757607367,0.716228646,0.72945561,0.681134624,0.626066408,0.663296383,0.619777675,0.680506223,0.816668873,0.730686812,0.560749611,0.791719524,0.744803561
arm,0.629718242,0.388195858,0.699447201,0.662342478,0.474524356,0.743445082,1,0.907026564,0.685447864,0.501323293,0.722152015,0.691856157,0.550103825,0.68284733,0.625103314,0.806275358,0.695502755,0.668018281,0.708705179,0.679427642,0.821957695,0.73561318,0.688344376,0.878105078,0.819065771,0.775251479,0.839410224,0.802884138,0.824688191,0.841623899,0.738233687,0.354336875,0.747276749,0.541863515,0.741914754,0.876744657,0.802152111,0.703093073,0.812493269,0.771900904,0.693692358,0.746827111,0.641654602,0.784394249,0.427823015,0.895962575,0.806932418,0.913370555,0.579885916,0.767560138,0.512632066,0.441416734,0.511732461,0.505113856,0.439285934,0.843656687,0.654847059,0.416739054,0.633515455,0.546023638
hand,0.834095548,0.612960442,0.779191546,0.801347219,0.512071079,0.796126282,0.907026564,1,0.796124871,0.571966464,0.874851134,0.807133514,0.750257055,0.866494646,0.674692435,0.915246286,0.784340169,0.772511294,0.886614148,0.805767484,0.903791835,0.802911403,0.88529982,0.925413058,0.921954098,0.927150796,0.929878304,0.898078059,0.904677335,0.917643412,0.780237443,0.643451938,0.847578011,0.711324376,0.76316523,0.857425448,0.932344235,0.901950386,0.945253566,0.909798399,0.800289379,0.93827447,0.777810708,0.906052944,0.572091873,0.967533324,0.888543296,0.915569922,0.742320381,0.892132437,0.63564103,0.534112263,0.636096741,0.647878647,0.549796792,0.96269093,0.846454398,0.524431882,0.744816657,0.736619721
foot,0.821667704,0.748229935,0.83832113,0.818913619,0.690288152,0.959096488,0.685447864,0.796124871,1,0.792714457,0.907178567,0.914611241,0.863952267,0.855508141,0.693974493,0.737736149,0.838975064,0.936496912,0.845858408,0.892089622,0.889388718,0.896353595,0.855972513,0.849319593,0.861341419,0.840050863,0.875982936,0.848924038,0.89489281,0.875842174,0.872278962,0.664316515,0.875792786,0.732455916,0.887955345,0.747529794,0.756508614,0.811811254,0.796005107,0.775573227,0.738115769,0.821500552,0.875992725,0.82585702,0.554922531,0.837978082,0.787730441,0.757401585,0.694680725,0.742056306,0.71264256,0.680640911,0.700902368,0.672023821,0.703235018,0.796278409,0.779881536,0.632215203,0.827236968,0.787501654
eye,0.523409057,0.524038731,0.586679063,0.443904731,0.55454692,0.80411088,0.501323293,0.571966464,0.792714457,1,0.759735745,0.923620627,0.601530571,0.693990987,0.577643506,0.630649726,0.892262337,0.742649273,0.793815081,0.764181142,0.672848396,0.793289948,0.763171105,0.587953037,0.725129419,0.67506472,0.749724951,0.646606185,0.777089156,0.790876586,0.83763336,0.564927015,0.755930353,0.677398051,0.774573113,0.635932968,0.62164207,0.64791121,0.618693405,0.595632791,0.538527228,0.561952642,0.904214367,0.563612866,0.453125767,0.638247061,0.550595193,0.560024094,0.753125378,0.477412431,0.464446184,0.371978755,0.402838022,0.309713703,0.460434142,0.573482155,0.497023732,0.593698633,0.676803378,0.675253793
