term,horse,bear,cat,dog,cow,leg,arm,hand,foot,eye,apartment,igloo,barn,house,church,door,closet,chimney,window,arch,shirt,pants,skirt,coat,dress,chair,dresser,bed,table,desk,ant,butterfly,fly,bee,beetle,knife,bottle,glass,spoon,cup,telephone,key,watch,refrigerator,bell,screwdriver,chisel,pliers,saw,hammer,tomato,celery,corn,carrot,lettuce,bicycle,car,train,truck,airplane
horse,1,0.785714286,0.75862069,0.75862069,0.727272727,0.166666667,0.166666667,0.173913043,0.166666667,0.173913043,0.347826087,0.333333333,0.333333333,0.347826087,0.086956522,0.32,0.333333333,0.32,0.333333333,0.090909091,0.333333333,0.307692308,0.347826087,0.32,0.333333333,0.32,0.333333333,0.32,0.095238095,0.32,0.518518519,0.518518519,0.518518519,0.518518519,0.538461538,0.296296296,0.333333333,0.2,0.347826087,0.347826087,0.333333333,0.347826087,0.307692308,0.296296296,0.333333333,0.32,0.296296296,0.32,0.090909091,0.307692308,0.166666667,0.48,0.428571429,0.333333333,0.086956522,0.333333333,0.307692308,0.333333333,0.307692308,0.296296296
bear,0.785714286,1,0.888888889,0.888888889,0.709677419,0.181818182,0.181818182,0.19047619,0.181818182,0.19047619,0.380952381,0.363636364,0.363636364,0.380952381,0.095238095,0.347826087,0.363636364,0.347826087,0.363636364,0.1,0.363636364,0.333333333,0.380952381,0.347826087,0.363636364,0.347826087,0.363636364,0.347826087,0.105263158,0.347826087,0.56,0.56,0.56,0.56,0.583333333,0.32,0.363636364,0.222222222,0.380952381,0.380952381,0.363636364,0.380952381,0.333333333,0.32,0.363636364,0.347826087,0.32,0.347826087,0.1,0.333333333,0.181818182,0.52173913,0.461538462,0.363636364,0.095238095,0.363636364,0.333333333,0.363636364,0.333333333,0.32
cat,0.75862069,0.888888889,1,0.857142857,0.6875,0.173913043,0.173913043,0.181818182,0.173913043,0.181818182,0.363636364,0.347826087,0.347826087,0.363636364,0.090909091,0.333333333,0.347826087,0.333333333,0.347826087,0.095238095,0.347826087,0.32,0.363636364,0.333333333,0.347826087,0.333333333,0.347826087,0.333333333,0.1,0.333333333,0.538461538,0.538461538,0.538461538,0.538461538,0.56,0.307692308,0.347826087,0.210526316,0.363636364,0.363636364,0.347826087,0.363636364,0.32,0.307692308,0.347826087,0.333333333,0.307692308,0.333333333,0.095238095,0.32,0.173913043,0.5,0.444444444,0.347826087,0.090909091,0.347826087,0.32,0.347826087,0.32,0.307692308
dog,0.75862069,0.888888889,0.857142857,0.928571429,0.6875,0.222222222,0.222222222,0.235294118,0.222222222,0.235294118,0.470588235,0.444444444,0.444444444,0.470588235,0.117647059,0.421052632,0.444444444,0.421052632,0.444444444,0.125,0.444444444,0.4,0.470588235,0.421052632,0.444444444,0.421052632,0.444444444,0.421052632,0.133333333,0.421052632,0.666666667,0.666666667,0.666666667,0.666666667,0.7,0.380952381,0.444444444,0.285714286,0.470588235,0.470588235,0.444444444,0.470588235,0.4,0.380952381,0.444444444,0.421052632,0.380952381,0.421052632,0.125,0.4,0.222222222,0.631578947,0.545454545,0.444444444,0.117647059,0.444444444,0.4,0.444444444,0.4,0.380952381
cow,0.727272727,0.709677419,0.6875,0.6875,1,0.148148148,0.148148148,0.153846154,0.148148148,0.153846154,0.307692308,0.296296296,0.296296296,0.307692308,0.076923077,0.285714286,0.296296296,0.285714286,0.296296296,0.08,0.296296296,0.275862069,0.307692308,0.285714286,0.296296296,0.285714286,0.296296296,0.285714286,0.083333333,0.285714286,0.466666667,0.466666667,0.466666667,0.466666667,0.482758621,0.266666667,0.296296296,0.173913043,0.307692308,0.307692308,0.296296296,0.307692308,0.275862069,0.266666667,0.296296296,0.285714286,0.266666667,0.285714286,0.08,0.275862069,0.148148148,0.428571429,0.387096774,0.296296296,0.076923077,0.296296296,0.275862069,0.296296296,0.275862069,0.266666667
leg,0.166666667,0.181818182,0.173913043,0.222222222,0.148148148,1,0.888888889,0.705882353,0.666666667,0.588235294,0.235294118,0.222222222,0.222222222,0.235294118,0.117647059,0.210526316,0.222222222,0.210526316,0.222222222,0.125,0.222222222,0.2,0.235294118,0.210526316,0.222222222,0.210526316,0.222222222,0.210526316,0.133333333,0.210526316,0.19047619,0.19047619,0.19047619,0.19047619,0.2,0.19047619,0.222222222,0.285714286,0.235294118,0.235294118,0.222222222,0.235294118,0.2,0.19047619,0.222222222,0.210526316,0.19047619,0.210526316,0.125,0.2,0.222222222,0.210526316,0.181818182,0.222222222,0.117647059,0.222222222,0.2,0.222222222,0.2,0.19047619
arm,0.166666667,0.181818182,0.173913043,0.222222222,0.148148148,0.888888889,1,0.705882353,0.666666667,0.588235294,0.235294118,0.222222222,0.222222222,0.235294118,0.117647059,0.210526316,0.222222222,0.210526316,0.222222222,0.125,0.222222222,0.2,0.235294118,0.210526316,0.222222222,0.210526316,0.222222222,0.210526316,0.133333333,0.210526316,0.19047619,0.19047619,0.19047619,0.19047619,0.2,0.19047619,0.222222222,0.285714286,0.235294118,0.235294118,0.222222222,0.235294118,0.2,0.19047619,0.222222222,0.210526316,0.19047619,0.210526316,0.125,0.2,0.222222222,0.210526316,0.181818182,0.222222222,0.117647059,0.222222222,0.2,0.222222222,0.2,0.19047619
hand,0.173913043,0.19047619,0.181818182,0.235294118,0.153846154,0.705882353,0.705882353,1,0.823529412,0.625,0.25,0.235294118,0.235294118,0.25,0.125,0.222222222,0.235294118,0.222222222,0.235294118,0.133333333,0.235294118,0.210526316,0.25,0.222222222,0.235294118,0.222222222,0.235294118,0.222222222,0.142857143,0.222222222,0.2,0.2,0.2,0.2,0.210526316,0.2,0.235294118,0.307692308,0.25,0.25,0.235294118,0.25,0.210526316,0.2,0.235294118,0.222222222,0.2,0.222222222,0.133333333,0.210526316,0.235294118,0.222222222,0.19047619,0.235294118,0.125,0.235294118,0.210526316,0.235294118,0.210526316,0.2
foot,0.166666667,0.181818182,0.173913043,0.222222222,0.148148148,0.666666667,0.666666667,0.823529412,1,0.588235294,0.235294118,0.222222222,0.222222222,0.235294118,0.117647059,0.210526316,0.222222222,0.210526316,0.222222222,0.125,0.222222222,0.2,0.235294118,0.210526316,0.222222222,0.210526316,0.222222222,0.210526316,0.133333333,0.210526316,0.19047619,0.19047619,0.19047619,0.19047619,0.2,0.19047619,0.222222222,0.285714286,0.235294118,0.235294118,0.222222222,0.235294118,0.2,0.19047619,0.222222222,0.210526316,0.19047619,0.210526316,0.125,0.2,0.222222222,0.210526316,0.181818182,0.222222222,0.117647059,0.222222222,0.2,0.222222222,0.2,0.19047619
eye,0.173913043,0.19047619,0.181818182,0.235294118,0.153846154,0.588235294,0.588235294,0.625,0.588235294,1,0.25,0.235294118,0.235294118,0.25,0.125,0.222222222,0.235294118,0.222222222,0.235294118,0.133333333,0.235294118,0.210526316,0.25,0.222222222,0.235294118,0.222222222,0.235294118,0.222222222,0.142857143,0.222222222,0.2,0.2,0.2,0.2,0.210526316,0.2,0.235294118,0.307692308,0.25,0.25,0.235294118,0.25,0.210526316,0.2,0.235294118,0.222222222,0.2,0.222222222,0.133333333,0.210526316,0.235294118,0.222222222,0.19047619,0.235294118,0.125,0.235294118,0.210526316,0.235294118,0.210526316,0.2
