term,horse,bear,cat,dog,cow,leg,arm,hand,foot,eye,apartment,igloo,barn,house,church,door,closet,chimney,window,arch,shirt,pants,skirt,coat,dress,chair,dresser,bed,table,desk,ant,butterfly,fly,bee,beetle,knife,bottle,glass,spoon,cup,telephone,key,watch,refrigerator,bell,screwdriver,chisel,pliers,saw,hammer,tomato,celery,corn,carrot,lettuce,bicycle,car,train,truck,airplane
horse,1,0.785714286,0.75862069,0.75862069,0.814814815,0.631578947,0.705882353,0.6,0.777777778,0.588235294,0.705882353,0.666666667,0.666666667,0.705882353,0.666666667,0.75,0.666666667,0.526315789,0.888888889,0.75,0.555555556,0.555555556,0.588235294,0.625,0.588235294,0.6,0.631578947,0.736842105,0.631578947,0.6,0.518518519,0.518518519,0.625,0.533333333,0.571428571,0.6,0.631578947,0.666666667,0.727272727,0.666666667,0.736842105,0.666666667,0.571428571,0.476190476,0.631578947,0.6,0.545454545,0.6,0.6,0.842105263,0.48,0.48,0.666666667,0.48,0.48,0.631578947,0.631578947,0.631578947,0.6,0.545454545
bear,0.785714286,1,0.888888889,0.888888889,0.88,0.444444444,0.5,0.571428571,0.52173913,0.444444444,0.444444444,0.421052632,0.421052632,0.444444444,0.421052632,0.470588235,0.421052632,0.4,0.470588235,0.5,0.421052632,0.421052632,0.571428571,0.470588235,0.5,0.6,0.666666667,0.5,0.421052632,0.4,0.56,0.56,0.666666667,0.56,0.583333333,0.4,0.421052632,0.444444444,0.444444444,0.444444444,0.421052632,0.571428571,0.545454545,0.363636364,0.6,0.4,0.363636364,0.631578947,0.5,0.421052632,0.6,0.6,0.52173913,0.6,0.6,0.421052632,0.421052632,0.444444444,0.4,0.363636364
cat,0.75862069,0.888888889,1,0.857142857,0.846153846,0.736842105,0.842105263,0.7,0.736842105,0.555555556,0.555555556,0.526315789,0.526315789,0.6,0.571428571,0.588235294,0.631578947,0.5,0.7,0.588235294,0.526315789,0.526315789,0.571428571,0.588235294,0.555555556,0.8,0.666666667,0.625,0.631578947,0.6,0.545454545,0.545454545,0.7,0.545454545,0.571428571,0.8,0.7,0.823529412,0.736842105,0.736842105,0.631578947,0.777777778,0.761904762,0.454545455,0.736842105,0.631578947,0.545454545,0.631578947,0.7,0.7,0.6,0.6,0.631578947,0.6,0.6,0.727272727,0.833333333,0.666666667,0.833333333,0.666666667
dog,0.75862069,0.888888889,0.857142857,1,0.909090909,0.888888889,0.8,0.736842105,0.888888889,0.588235294,0.588235294,0.555555556,0.555555556,0.588235294,0.555555556,0.625,0.666666667,0.526315789,0.736842105,0.625,0.555555556,0.555555556,0.6,0.625,0.588235294,0.842105263,0.705882353,0.666666667,0.666666667,0.631578947,0.666666667,0.666666667,0.736842105,0.666666667,0.7,0.736842105,0.666666667,0.736842105,0.705882353,0.705882353,0.666666667,0.823529412,0.7,0.476190476,0.777777778,0.631578947,0.571428571,0.666666667,0.736842105,0.736842105,0.631578947,0.631578947,0.545454545,0.631578947,0.631578947,0.666666667,0.666666667,0.7,0.631578947,0.571428571
cow,0.814814815,0.88,0.846153846,0.909090909,1,0.421052632,0.421052632,0.545454545,0.5,0.421052632,0.421052632,0.4,0.4,0.421052632,0.4,0.444444444,0.4,0.380952381,0.444444444,0.444444444,0.4,0.4,0.545454545,0.444444444,0.421052632,0.571428571,0.631578947,0.470588235,0.4,0.380952381,0.583333333,0.583333333,0.583333333,0.583333333,0.608695652,0.380952381,0.4,0.421052632,0.421052632,0.421052632,0.4,0.545454545,0.52173913,0.347826087,0.571428571,0.380952381,0.347826087,0.6,0.380952381,0.4,0.571428571,0.571428571,0.5,0.571428571,0.571428571,0.4,0.4,0.421052632,0.380952381,0.347826087
leg,0.631578947,0.444444444,0.736842105,0.888888889,0.421052632,1,0.888888889,0.736842105,0.888888889,0.625,0.625,0.588235294,0.588235294,0.625,0.588235294,0.666666667,0.666666667,0.555555556,0.736842105,0.666666667,0.705882353,0.705882353,0.875,0.8,0.75,0.842105263,0.666666667,0.714285714,0.666666667,0.631578947,0.4,0.727272727,0.75,0.4,0.6,0.736842105,0.666666667,0.736842105,0.705882353,0.705882353,0.666666667,0.823529412,0.7,0.5,0.777777778,0.631578947,0.571428571,0.631578947,0.736842105,0.736842105,0.588235294,0.625,0.428571429,0.588235294,0.555555556,0.666666667,0.666666667,0.7,0.631578947,0.571428571
arm,0.705882353,0.5,0.842105263,0.8,0.421052632,0.888888889,1,0.736842105,0.8,0.625,0.75,0.705882353,0.705882353,0.75,0.705882353,0.8,0.705882353,0.555555556,0.736842105,0.8,0.705882353,0.705882353,0.875,0.8,0.75,0.842105263,0.666666667,0.75,0.666666667,0.631578947,0.4,0.4,0.75,0.5,0.6,0.947368421,0.666666667,0.75,0.705882353,0.705882353,0.666666667,0.823529412,0.8,0.5,0.777777778,0.631578947,0.571428571,0.631578947,0.736842105,0.736842105,0.444444444,0.444444444,0.444444444,0.470588235,0.444444444,0.666666667,0.666666667,0.7,0.631578947,0.571428571
hand,0.6,0.571428571,0.7,0.736842105,0.545454545,0.736842105,0.736842105,1,0.857142857,0.666666667,0.555555556,0.526315789,0.666666667,0.769230769,0.666666667,0.608695652,0.631578947,0.5,0.7,0.625,0.526315789,0.526315789,0.555555556,0.588235294,0.555555556,0.705882353,0.631578947,0.666666667,0.631578947,0.6,0.52173913,0.52173913,0.7,0.52173913,0.571428571,0.7,0.631578947,0.7,0.666666667,0.666666667,0.631578947,0.777777778,0.666666667,0.454545455,0.736842105,0.6,0.545454545,0.6,0.7,0.7,0.571428571,0.571428571,0.5,0.736842105,0.571428571,0.631578947,0.631578947,0.727272727,0.6,0.545454545
foot,0.777777778,0.52173913,0.736842105,0.888888889,0.5,0.888888889,0.8,0.857142857,1,0.8,0.705882353,0.666666667,0.714285714,0.769230769,0.666666667,0.75,0.666666667,0.526315789,0.777777778,0.75,0.555555556,0.555555556,0.588235294,0.625,0.588235294,0.842105263,0.666666667,0.947368421,0.666666667,0.631578947,0.48,0.695652174,0.736842105,0.5,0.6,0.736842105,0.666666667,0.736842105,0.705882353,0.705882353,0.666666667,0.823529412,0.7,0.476190476,0.777777778,0.631578947,0.571428571,0.631578947,0.736842105,0.736842105,0.52173913,0.52173913,0.461538462,0.52173913,0.52173913,0.666666667,0.666666667,0.7,0.631578947,0.571428571
eye,0.588235294,0.444444444,0.555555556,0.588235294,0.421052632,0.625,0.625,0.666666667,0.8,1,0.625,0.588235294,0.588235294,0.625,0.588235294,0.666666667,0.588235294,0.555555556,0.8,0.666666667,0.588235294,0.588235294,0.625,0.666666667,0.625,0.555555556,0.588235294,0.714285714,0.588235294,0.555555556,0.4,0.4,0.8,0.4,0.526315789,0.555555556,0.588235294,0.625,0.625,0.875,0.588235294,0.8,0.526315789,0.5,0.8,0.555555556,0.5,0.555555556,0.555555556,0.588235294,0.444444444,0.444444444,0.444444444,0.470588235,0.444444444,0.588235294,0.588235294,0.625,0.555555556,0.5
